,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,CT6,CT6,캐딜락,0,0,Sedan,2,CT6,캐딜락
1,랜드로버 디스커버리 스포츠,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,3,디스커버리 스포츠,랜드로버
2,XT5,XT5,캐딜락,0,0,Mid-Large suv,2,XT5,캐딜락
3,QX50,QX,인피니티,0,0,Mid-Large suv,3,QX,인피니티
4,Audi A5,A5,아우디,0,0,Sedan,3,A5,아우디
5,렉서스 IS 250,IS,렉서스,0,0,Sedan,2,IS,렉서스
6,bmw X5,X5,BMW,0,0,Mid-Large suv,2,X5,BMW
7,쌍용 W 렉스턴 Y200,0,0,0,0,,2,렉스턴,쌍용
8,Audi Q5,Q5,아우디,0,0,Mid-Large suv,3,Q5,아우디
9,르노삼성 뉴아트 SM7 EX2,SM7,르노삼성,0,0,Sedan,3,SM7,르노삼성
10,쉐보레/한국GM 크리에이티브 마티즈 M300,마티즈,쉐보레/한국GM,0,0,Sedan,2,마티즈,쉐보레/한국GM
11,쉐보레/한국GM 맥스 윈스톰 C105,윈스톰,쉐보레/한국GM,0,0,Mid-Large suv,2,윈스톰,쉐보레/한국GM
12,기아 K3 GT,K3 GT,기아,0,0,Sedan,3,K3 GT,기아
13,기아 더뉴 HEV K5 JF,K5,기아,0,0,Sedan,2,K5,기아
14,308SW,308SW,푸조,0,0,Small suv,2,308SW,푸조
15,기아 하이브리드 K5 TF,K5,기아,0,0,Sedan,2,K5,기아
16,캐딜락 에스컬레이드 2019년형,에스컬레이드,캐딜락,0,0,Mid-Large suv,2,에스컬레이드,캐딜락
17,현대 스타렉스 A1,스타렉스,현대,0,A1,van,2,스타렉스,현대
18,르노삼성 SM3 N17,SM3,르노삼성,0,0,Sedan,2,SM3,르노삼성
19,미니 2열 쿠퍼 2014년형,2열 쿠퍼,미니,0,0,Sedan,3,2열 쿠퍼,미니
20,혼다 어코드 2009년형,0,0,0,0,,2,어코드,혼다
21,5008,5008,푸조,0,0,Small suv,3,5008,푸조
22,뉴비틀 Cabriolet,비틀,폭스바겐,0,0,Sedan,2,뉴비틀,폭스바겐
23,쉐보레/대우 크리에이티브 마티즈 M300,마티즈,쉐보레/한국GM,0,0,Sedan,2,마티즈,쉐보레/한국GM
24,508SW,508SW,푸조,0,0,Small suv,3,508SW,푸조
25,CTS,CTS,캐딜락,0,0,Sedan,2,CTS,캐딜락
26,랜드로버 레인지로버 스포츠,레인지로버 스포츠,랜드로버,0,0,Mid-Large suv,3,레인지로버 스포츠,랜드로버
27,K5터보GDi,K5,기아,0,0,Sedan,3,K5,기아
28,미니컨트리맨,컨트리맨,미니,0,0,Small suv,2,컨트리맨,미니
29,SM6 탈리스만,SM6,르노삼성,0,0,Sedan,2,SM6,르노삼성
30,미니 쿠퍼,0,0,0,0,,2,쿠퍼,미니
31,BMW X5 M,X5 M,BMW,0,0,Mid-Large suv,3,X5 M,BMW
32,벤츠 E-클래스 쿠페 C213,E-클래스,벤츠,0,0,Sedan,2,E-클래스,벤츠
33,캐딜락 에스컬레이드 2020년형,에스컬레이드,캐딜락,0,0,Mid-Large suv,2,에스컬레이드,캐딜락
