,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,new C클래스,0,0,0,0,,0,C-클래스,벤츠
1,F-페이스,0,0,0,0,,0,F페이스,재규어
2,혼다 오디세이,0,0,0,0,,0,오딧세이,혼다
3,인피니티 G37,0,0,0,0,,0,G 시리즈,인피니티
4,E300Amg,0,0,0,0,,0,E-클래스,벤츠
5,폭스바겐 Golf TDI,0,0,0,0,,0,골프,폭스바겐
6,익스프로러밴,0,0,0,0,,0,익스플로러밴,
7,현대 소나타하이브리드,0,0,0,0,,0,쏘나타,현대
8,AD,0,0,0,0,,0,아반떼,현대
9,New 액센트,0,0,0,0,,0,엑센트,현대
10,SL클래스,0,0,0,0,,0,SL-클래스,벤츠
11,BMWNEW7시리즈,0,0,0,0,,0,7 시리즈,BMW
12,118D,0,0,0,0,,0,1 시리즈,BMW
13,볼보 XC 2018년형,0,0,0,0,,0,,볼보
14,2011폭스바겐Jetta,0,0,0,0,,0,제타,폭스바겐
15,뉴그랜져 XG,0,0,0,0,,0,그랜저,현대
16,누비라2,0,0,0,0,,0,누비라,쉐보레/한국GM
17,E트론,0,0,0,0,,0,E-tron,아우디
18,현댜파비스,0,0,0,0,,0,파비스,현대
19,시트로엥 DS,0,0,0,0,,0,,시트로엥
20,6시리즈G32,0,0,0,0,,0,6 시리즈,BMW
21,볼보 XC 2019년형,0,0,0,0,,0,,볼보
22,V클래스,0,0,0,0,,0,V-클래스,벤츠
23,BMWMINI,0,0,0,0,,0,,
24,테슬 라,0,0,0,0,,0,,테슬라
25,LM,0,0,0,0,,0,LM,렉서스
26,뉴그랜버드,0,0,0,0,,0,그랜버드,기아
27,레가시,0,0,0,0,,0,레거시,스바루
28,아우디AllroadQurttro,0,0,0,0,,0,올로드콰트로,아우디
29,인피니티m37,0,0,0,0,,0,M 시리즈,인피니티
30,2011 액센트 위트,0,0,0,0,,0,엑센트,현대
