,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,쏘나타 LF,쏘나타,현대,0,LF,Sedan,1,쏘나타,현대
1,싼타페 CM,싼타페,현대,0,CM,Mid-Large suv,1,싼타페,현대
2,기아 와이드 1열 봉고 SR,1열 봉고,기아,와이드,SR,One row truck,1,1열 봉고,기아
3,디올뉴G80,G80,제네시스,0,0,Sedan,1,G80,제네시스
4,XC90,XC90,볼보,0,0,Mid-Large suv,1,XC90,볼보
5,쉐보레/한국GM 다마스,다마스,쉐보레/한국GM,0,0,Three row truck,1,다마스,쉐보레/한국GM
6,A6,A6,아우디,0,0,Sedan,1,A6,아우디
7,K7 하이브리드,K7,기아,하이브리드,0,Sedan,1,K7,기아
8,현대 뉴라이즈 PHEV 쏘나타 LF,쏘나타,현대,뉴라이즈 PHEV,LF,Sedan,1,쏘나타,현대
9,MKZ,MKZ,링컨,0,0,Sedan,1,MKZ,링컨
10,X1,X1,BMW,0,0,Mid-Large suv,1,X1,BMW
11,티구안,티구안,폭스바겐,0,0,Mid-Large suv,1,티구안,폭스바겐
12,모델 S,모델 S,테슬라,0,0,Sedan,1,모델 S,테슬라
13,기아 봉고 버스,봉고 버스,기아,0,0,van,1,봉고 버스,기아
14,마티즈크리에이티브,마티즈,쉐보레/한국GM,크리에이티브,0,Sedan,1,마티즈,쉐보레/한국GM
15,혼다 인사이트,인사이트,혼다,0,0,Sedan,1,인사이트,혼다
16,푸조208,208,푸조,0,0,Sedan,1,208,푸조
17,캐딜락 XT6,XT6,캐딜락,0,0,Mid-Large suv,1,XT6,캐딜락
18,포드 몬데오,몬데오,포드,0,0,Sedan,1,몬데오,포드
19,현대 제네시스G330,제네시스,현대,0,0,Sedan,1,제네시스,현대
20,카이런,카이런,쌍용,0,0,Mid-Large suv,1,카이런,쌍용
21,BMW M3 E46,M3,BMW,0,E46,Sedan,1,M3,BMW
22,기아 THE K9,K9,기아,0,0,Sedan,1,K9,기아
23,기아 스포티지R,스포티지,기아,R,0,Mid-Large suv,1,스포티지,기아
24,테슬라 모델 S,모델 S,테슬라,0,0,Sedan,1,모델 S,테슬라
25,티구안 올스페이스,티구안,폭스바겐,0,0,Mid-Large suv,1,티구안,폭스바겐
26,포르쉐 마칸,마칸,포르쉐,0,0,Mid-Large suv,1,마칸,포르쉐
27,쉐보레 올란도,올란도,쉐보레,0,0,Mid-Large suv,1,올란도,쉐보레
28,토스카,토스카,쉐보레/한국GM,0,0,Sedan,1,토스카,쉐보레/한국GM
29,기아 프라이드 UB,프라이드,기아,0,UB,Sedan,1,프라이드,기아
30,기아 뉴 카렌스 UN,카렌스,기아,뉴,UN,Small suv,1,카렌스,기아
31,볼보V60,V60,볼보,0,0,Mid-Large suv,1,V60,볼보
32,쉐보레 캡티바,캡티바,홀덴,0,0,Mid-Large suv,1,캡티바,쉐보레
33,현대 더 뉴 PHEV 아이오닉 AE,아이오닉,현대,더 뉴 PHEV,AE,Sedan,1,아이오닉,현대
34,쉐보레/한국GM 프리미어 라세티 J300,라세티,쉐보레/한국GM,프리미어,J300,Sedan,1,라세티,쉐보레/한국GM
35,렉서스 LS,0,0,0,0,,1,LS,렉서스
36,카이엔,카이엔,포르쉐,0,0,Mid-Large suv,1,카이엔,포르쉐
37,포드 머스탱 2020년형,머스탱,포드,0,0,Coupe,1,머스탱,포드
38,현대 그랜저 XG,그랜저,현대,0,XG,Sedan,1,그랜저,현대
39,토요타 프리우스 2019년형,프리우스,토요타,0,0,Sedan,1,프리우스,토요타
40,볼보 XC90 2020년형,XC90,볼보,0,0,Mid-Large suv,1,XC90,볼보
41,쉐보레/한국GM 올란도,올란도,쉐보레,0,0,Mid-Large suv,1,올란도,쉐보레/한국GM
42,쉐보레/한국GM 라보,라보,쉐보레/한국GM,0,0,One row truck,1,라보,쉐보레/한국GM
43,벤츠 E-클래스 E220d,E-클래스,벤츠,0,0,Sedan,1,E-클래스,벤츠
44,쌍용 티볼리에어,티볼리,쌍용,에어,0,Small suv,1,티볼리,쌍용
45,혼다 파일럿 2020년형,파일럿,혼다,0,0,Mid-Large suv,1,파일럿,혼다
46,링컨 MKZ,MKZ,링컨,0,0,Sedan,1,MKZ,링컨
47,벤츠 E-클래스 E300 4MATIC,E-클래스,벤츠,0,0,Sedan,1,E-클래스,벤츠
48,라보,라보,쉐보레/한국GM,0,0,One row truck,1,라보,쉐보레/한국GM
49,쌍용 로디우스,로디우스,쌍용,0,0,van,1,로디우스,쌍용
50,닛산 로그 2020년형,로그,닛산,0,0,Mid-Large suv,1,로그,닛산
51,닛산 370Z,370Z,닛산,0,0,Coupe,1,370Z,닛산
52,볼보 C70,C70,볼보,0,0,Coupe,1,C70,볼보
53,다이하쓰 미라,미라,다이하쓰,0,0,Sedan,1,미라,다이하쓰
54,렉서스 CT 2019년형,CT,렉서스,0,0,Sedan,1,CT,렉서스
55,현대 EV 아이오닉 AE,아이오닉,현대,EV,AE,Sedan,1,아이오닉,현대
56,마칸,마칸,포르쉐,0,0,Mid-Large suv,1,마칸,포르쉐
57,아우디 A7,A7,아우디,0,0,Sedan,1,A7,아우디
58,쉐보레/대우 마티즈,마티즈,쉐보레/한국GM,0,0,Sedan,1,마티즈,쉐보레/한국GM
59,트라제XG,트라제XG,현대,0,0,van,1,트라제XG,현대
60,현대 클릭 TB,클릭,현대,0,TB,Sedan,1,클릭,현대
61,혼다 오딧세이 2020년형,오딧세이,혼다,0,0,van,1,오딧세이,혼다
62,쉐보레/대우 올란도,올란도,쉐보레,0,0,Mid-Large suv,1,올란도,쉐보레/한국GM
63,3008,3008,푸조,0,0,Small suv,1,3008,푸조
64,머스탱,머스탱,포드,0,0,Coupe,1,머스탱,포드
65,토요타 프리우스 2020년형,프리우스,토요타,0,0,Sedan,1,프리우스,토요타
66,쉐보레/대우 캡티바,캡티바,홀덴,0,0,Mid-Large suv,1,캡티바,쉐보레/한국GM
67,쉐보레/대우 올란도 J309,올란도,쉐보레,0,J309,Mid-Large suv,1,올란도,쉐보레/한국GM
68,큐브,큐브,닛산,0,0,Sedan,1,큐브,닛산
69,뉴오피러스,오피러스,기아,뉴,0,Sedan,1,오피러스,기아
70,기아 더뉴 쏘울 PS,쏘울,기아,더뉴,PS,Small suv,1,쏘울,기아
71,K3Koup,K3,기아,0,0,Sedan,1,K3 쿱,기아
72,레이 TAM 더뉴,레이,기아,더뉴,TAM,Sedan,1,레이,기아
73,STS,STS,캐딜락,0,0,Sedan,1,STS,캐딜락
74,뉴EF쏘나타,쏘나타,현대,뉴,EF,Sedan,1,쏘나타,현대
75,툰드라,툰드라,토요타,0,0,Mid-Large suv,1,툰드라,토요타
76,카니발2,카니발,기아,2,0,van,1,카니발,기아
77,BMWZ3,Z3,BMW,0,0,Coupe,1,Z3,BMW
78,컴패스,컴패스,지프,0,0,Mid-Large suv,1,컴패스,지프
79,카니발 리무진,카니발,기아,0,0,van,1,카니발,기아
80,sm5 노바,0,0,0,0,,1,SM5,르노삼성
81,올 뉴 스포티지,스포티지,기아,뉴,0,Mid-Large suv,1,스포티지,기아
82,기아로체이노베이션,로체,기아,이노베이션,0,Sedan,1,로체,기아
83,현대 PHEV 쏘나타 LF,쏘나타,현대,PHEV,LF,Sedan,1,쏘나타,현대
84,BMW X7 G07,X7,BMW,0,G07,Mid-Large suv,1,X7,BMW
85,아우디 S7 2021년형,S7,아우디,0,0,Sedan,1,S7,아우디
86,BMW Z4,Z4,BMW,0,0,Coupe,1,Z4,BMW
87,링컨 에비에이터,에비에이터,링컨,0,0,Mid-Large suv,1,에비에이터,링컨
88,볼보 XC60 2014년형,XC60,볼보,0,0,Mid-Large suv,1,XC60,볼보
