,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,포터2 일렉트릭,0,0,0,0,,0,1열 포터,현대
1,E-마이티 2,0,0,0,0,,0,마이티,현대
2,8시리즈,0,0,0,0,,0,8 시리즈,BMW
3,6시리즈,0,0,0,0,,0,6 시리즈,BMW
4,120D,0,0,0,0,,0,1 시리즈,BMW
5,ㅁㅇㄹㅁㄹ,0,0,0,0,,0,,
6,BMW6시리즈,0,0,0,0,,0,6 시리즈,BMW
7,비스토,0,0,0,0,,0,비스토,기아
8,폭스바겐 Jetta,0,0,0,0,,0,제타,폭스바겐
9,코티나,0,0,0,0,,0,코티나,포드
10,4시리스,0,0,0,0,,0,4 시리즈,BMW
11,그라나다,0,0,0,0,,0,그라나다,포드
12,스마트,0,0,0,0,,0,,스마트
13,Golf TDI,0,0,0,0,,0,골프,폭스바겐
14,크레인,0,0,0,0,,0,크레인,
15,벤츠ML시리즈,0,0,0,0,,0,M-클래스,벤츠
16,현대 쏠라티 EU,0,0,0,0,,0,쏠라티,현대
17,S ,0,0,0,0,,0,,
18,SLK클래스,0,0,0,0,,0,SLK-클래스,벤츠
19,INFINITI G37 COUPE,0,0,0,0,,0,G 쿠페,인피니티
20,E300 Amg,0,0,0,0,,0,E-클래스,벤츠
21,BMW 6시리즈,0,0,0,0,,0,6 시리즈,BMW
22,마이브MI,0,0,0,0,,0,M1,마이브
23,아반테,0,0,0,0,,0,아반떼,현대
24,이스타나,0,0,0,0,,0,이스타나,쌍용
25,mq4,0,0,0,0,,0,쏘렌토,기아
26,아토스,0,0,0,0,,0,아토즈,현대
27,BH090,0,0,0,0,,0,버스,자일
