,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
212,혼다 어코드 2012년형,어코드,혼다,0,0,Sedan,1,어코드,혼다
213,포르쉐 파나메라 2014년형,파나메라,포르쉐,0,0,Sedan,1,파나메라,포르쉐
214,인피니티 G 시리즈 2011년형,G 시리즈,인피니티,0,0,Sedan,1,G 시리즈,인피니티
215,지프 사하라,사하라,지프,0,0,Mid-Large suv,1,사하라,지프
216,크라이슬러 캐러밴 2012년형,캐러밴,크라이슬러,0,0,van,1,캐러밴,크라이슬러
217,페라리 F430,F430,페라리,0,0,Coupe,1,F430,페라리
218,포드 머스탱 2012년형,머스탱,포드,0,0,Coupe,1,머스탱,포드
219,쌍용 뉴 로디우스 유로,로디우스,쌍용,뉴,유로,van,1,로디우스,쌍용
220,아우디 A4 2012년형,A4,아우디,0,0,Sedan,1,A4,아우디
221,토요타 RAV4 2011년형,RAV4,토요타,0,0,Mid-Large suv,1,RAV4,토요타
222,벤츠 SLK-클래스 2010년형,SLK-클래스,벤츠,0,0,Coupe,1,SLK-클래스,벤츠
223,지프 랭글러 2018년형,랭글러,지프,0,0,Mid-Large suv,1,랭글러,지프
224,토요타 하이랜더,하이랜더,토요타,0,0,Mid-Large suv,1,하이랜더,토요타
225,토요타 시에나 2012년형,시에나,토요타,0,0,van,1,시에나,토요타
226,링컨 MKZ 2014년형,MKZ,링컨,0,0,Sedan,1,MKZ,링컨
227,포드 토러스 2016년형,토러스,포드,0,0,Sedan,1,토러스,포드
228,쉐보레/대우 젠트라,젠트라,쉐보레/한국GM,0,0,Sedan,1,젠트라,쉐보레/한국GM
229,지프 컴패스 2018년형,컴패스,지프,0,0,Mid-Large suv,1,컴패스,지프
230,쉐보레/대우 캡티바 유로6,캡티바,홀덴,0,유로6,Mid-Large suv,1,캡티바,쉐보레/한국GM
231,쉐보레/대우 마티즈 클래식,마티즈,쉐보레/한국GM,0,클래식,Sedan,1,마티즈,쉐보레/한국GM
232,닛산 주크 2017년형,주크,닛산,0,0,Small suv,1,주크,닛산
233,쉐보레/대우 더뉴 아베오 T300,아베오,쉐보레/한국GM,더뉴,T300,Sedan,1,아베오,쉐보레/한국GM
234,혼다 오딧세이 2017년형,오딧세이,혼다,0,0,van,1,오딧세이,혼다
235,포드 익스플로러 2013년형,익스플로러,포드,0,0,Mid-Large suv,1,익스플로러,포드
236,벤츠 E-클래스 2016년형,E-클래스,벤츠,0,0,Sedan,1,E-클래스,벤츠
237,PHEV 니로 DE,니로,기아,PHEV,DE,Small suv,1,니로,기아
238,NX,NX,렉서스,0,0,Mid-Large suv,1,NX,렉서스
239,오딧세이,오딧세이,혼다,0,0,van,1,오딧세이,혼다
240,짐니,짐니,스즈키,0,0,Small suv,1,짐니,스즈키
241,도요타 코롤라,코롤라,토요타,0,0,Sedan,1,코롤라,토요타
242,크로스투어,크로스투어,혼다,0,0,Mid-Large suv,1,크로스투어,혼다
243,현대 NEW에쿠스,에쿠스,현대,0,0,Sedan,1,에쿠스,현대
