,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,S60,S60,볼보,0,0,Sedan,2,S60,볼보
1,6시리즈 그란투리스모(GT),그란투리스모,마세라티,0,0,Sedan,2,6 시리즈 GT,BMW
2,BMW 5 시리즈 GT,5 시리즈 GT,BMW,0,0,Sedan,4,5 시리즈 GT,BMW
3,르노삼성 뉴 QM5 H45,QM5,르노삼성,0,0,Small suv,3,QM5,르노삼성
4,쌍용 뉴스타일C 코란도 C200,코란도,쌍용,0,0,Small suv,2,코란도,쌍용
5,랜드로버 레인지로버스포츠,레인지로버,랜드로버,0,0,Mid-Large suv,2,레인지로버 스포츠,랜드로버
6,BMWX5,X5,BMW,0,0,Mid-Large suv,2,X5,BMW
7,BMW X5 E70,X5,BMW,0,0,Mid-Large suv,2,X5,BMW
8,르노삼성 뉴F/L SM3 L38,SM3,르노삼성,0,0,Sedan,2,SM3,르노삼성
9,랜드로버 레인지로버 보그,레인지로버 보그,랜드로버,0,0,Mid-Large suv,2,레인지로버 보그,랜드로버
10,현대 4세대(2020년상반기예정) 투싼 NX4,NX,렉서스,0,0,Mid-Large suv,3,투싼,현대
11,쌍용 렉스턴 Y200,0,0,0,0,,2,렉스턴,쌍용
12,Audi S4,S4,아우디,0,0,Sedan,2,S4,아우디
13,벤츠 더뉴 C-클래스 카브리올레 A205,C-클래스,벤츠,0,0,Sedan,3,C-클래스,벤츠
14,기아 부스터 EV 쏘울 SK3,K3,기아,부스터 EV,SK3,Sedan,2,쏘울,기아
15,벤츠 C-클래스 쿠페 C204,C-클래스,벤츠,0,0,Sedan,2,C-클래스,벤츠
16,벤츠 B-클래스 W245,B-클래스,벤츠,0,0,Small suv,2,B-클래스,벤츠
17,볼보 FH500,0,0,0,0,,2,FH,볼보
18,현대 i40 VF,i40,현대,0,0,Sedan,2,i40,현대
19,쌍용 뉴W 체어맨 W200,체어맨,쌍용,0,0,Sedan,2,체어맨,쌍용
20,폭스바겐 파사트 2008년형,2008,푸조,0,0,Small suv,3,파사트,폭스바겐
21,랜드로버 디스커버리 스포츠 2019년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,3,디스커버리 스포츠,랜드로버
22,쌍용 액티언 스포츠,액티언 스포츠,쌍용,0,0,Mid-Large suv,3,액티언 스포츠,쌍용
23,푸조 308SW,308SW,푸조,0,0,Small suv,2,308SW,푸조
24,LS500,0,0,0,0,,4,LS,렉서스
25,볼보 S40,S40,볼보,0,0,Sedan,2,S40,볼보
26,볼보 XC90 2006년형,XC90,볼보,0,0,Mid-Large suv,2,XC90,볼보
27,쉐보레/대우 알페온 VS300,알페온,쉐보레/한국GM,0,0,Sedan,2,알페온,쉐보레/한국GM
28,벤츠 E-클래스 W212/C207/A207,E-클래스,벤츠,0,0,Sedan,2,E-클래스,벤츠
29,벤츠 CLS-클래스 2019년형,CLS-클래스,벤츠,0,0,Sedan,4,CLS-클래스,벤츠
30,Audi S6,S6,아우디,0,0,Sedan,2,S6,아우디
31,현대 i30cw,i30,현대,0,0,Sedan,3,i30,현대
32,지프 그랜드 체로키 2020년형,그랜드 체로키,지프,0,0,Mid-Large suv,2,그랜드 체로키,지프
33,BMW X6 M F96,X6 M,BMW,0,0,Mid-Large suv,2,X6 M,BMW
34,아우디 Q5 FY,Q5,아우디,0,0,Mid-Large suv,2,Q5,아우디
35,벤츠 GLB-클래스,GLB-클래스,벤츠,0,0,Small suv,2,GLB-클래스,벤츠
36,미니 쿠퍼 컨버터블,쿠퍼 컨버터블,미니,0,0,Coupe,3,쿠퍼 컨버터블,미니
37,볼보 XC40 2020년형,XC40,볼보,0,0,Mid-Large suv,2,XC40,볼보
38,랜드로버 디스커버리 스포츠 2016년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,3,디스커버리 스포츠,랜드로버
39,랜드로버 레인지로버 2015년형,레인지로버,랜드로버,0,0,Mid-Large suv,2,레인지로버,랜드로버
40,BMW X4 M 40d G02,X4 M,BMW,0,40d G02,Mid-Large suv,2,X4 M,BMW
41,렉서스 GS 2015년형,GS,렉서스,0,0,Sedan,2,GS,렉서스
42,캐딜락 CT5 2021년형,CT5,캐딜락,0,0,Sedan,3,CT5,캐딜락
43,볼보XC40,XC40,볼보,0,0,Mid-Large suv,2,XC40,볼보
44,맥라렌 570S,570S,맥라렌,0,0,Coupe,2,570S,맥라렌
