,store,new_store,works,region
84,5b6af44ff31aa45a18db18b3322cb022,경기도_226,2174,경기도
85,f4e050997fba293de416abe921edbac7,대구광역시_57,421,대구광역시
86,1e6fd427ee44fd72cf03654bad589f6c,충청북도_21,875,충청북도
87,6ae9f9aa6133080b9abc4deaa4559fb2,충청북도_17,367,충청북도
88,2acf88c1093684b10715436de95d65bc,충청북도_1,5,충청북도
89,470924011e7337833d28a8c8bba49ad5,서울특별시_45,504,서울특별시
90,802938124b1c5a3c352e0a897acee023,인천광역시_52,3023,인천광역시
91,ad20e66f9fae19c04f359528fb967113,강원도_21,346,강원도
92,1a3c4a2cd7e48f6c14c60e290b38af0f,부산광역시_33,1406,부산광역시
93,8562ca3038ef3383d3c328e8e3f90293,서울특별시_117,963,서울특별시
94,988fa13ff4a22d3379f053acb1c0d109,경기도_202,1413,경기도
95,9233b9e62fa04ff050cb092f94399cc6,경기도_164,416,경기도
96,5c5eac04b68d8a9a2afdb760cad6b45d,경기도_103,98,경기도
97,1a7ad675973e822dae34183fb98792eb,경기도_196,1036,경기도
98,2491cc56c7be5483f008e0e267c8e1f7,경기도_292,158,경기도
99,a5b06d8c6bc6f16ccf1d882d4adb5dfa,경기도_54,1,경기도
100,a251a36da50d5574341687f51a9ce628,경상북도_67,111,경상북도
101,a3f63803a2bfca0582c56379725da29e,경기도_67,711,경기도
102,cccdd2c2d17f8412166259c2b2266057,경기도_221,571,경기도
103,49b2fcb711484400cc0383f1d14bbacd,경기도_129,70,경기도
104,ca8ec69ee3ad8551a5d34d43f2d69588,경기도_133,289,경기도
105,5fe07194a7ef5570279a63b8b297b252,경기도_259,36,경기도
106,da696e15cead6cd38373e6ee60ceea3f,경기도_267,60,경기도
107,c5d2d075fbce95c85789a54bb6f0203c,경기도_224,41,경기도
108,b3410d4de8a72c0b97139455e9b2e646,경기도_281,7,경기도
109,ddbc684adedc5d257d02787468c97a23,경기도_286,4,경기도
110,be94bd6f89c1575196e214b2beb82c54,경기도_86,2,경기도
111,3363917ec063dee867f8caf8daa0618d,경기도_124,2,경기도
112,d8d33b6bcddd03ef8b7758654c971af1,경기도_127,1334,경기도
113,0453ed465cc71470bd15e92412772b93,경기도_279,16,경기도
114,ac2aec5fecce163e43efa0ed502da2f4,경기도_92,1160,경기도
115,e1e2425af6d8901d1779e80a13414abd,경기도_291,404,경기도
116,741cbacf9d2815824dcfa788d9ca02a8,충청남도_33,1510,충청남도
117,3af6b1eb7037f5694cbe6e0ac54586b3,충청남도_15,233,충청남도
118,2efa0de9c48d63523a8b0482ce45ed21,충청남도_1,342,충청남도
119,27ce271e2ce74833b06018ec04967d82,충청남도_26,5,충청남도
120,2ff8b3c668b6b9245ca9e761d2b5b6fe,충청남도_32,200,충청남도
121,a20cfc947bc30cee89b216f8fb38bdb8,충청남도_39,50,충청남도
122,d2418fa5e5cf784e0e6c7cf766d052ba,충청남도_36,11,충청남도
123,16217d3f686732b51124d543a63f4de4,충청남도_14,5,충청남도
124,9d536ddac66c28b3e275a28f548f23e9,경상남도_42,1048,경상남도
125,75951c44e1785f1a8b38bbe0ac306a3f,대전광역시_4,2806,대전광역시
126,4489b30456b80a12919b48e939d35fa4,강원도_33,521,강원도
127,ade4450cabf6618574341273b67fda3f,충청남도_10,759,충청남도
128,2fb33ab819ba8a2b32a41ee03b8e36ec,대구광역시_31,2234,대구광역시
129,0db0ec2439ba2246bd9c933b4f92e53c,대구광역시_6,451,대구광역시
130,402532bb06279724c282792cf2d6936a,충청북도_19,524,충청북도
131,59135cc6a2a929ca3d3057ab2b93fa70,부산광역시_36,276,부산광역시
132,838cbd51cc782d41f9105fad773f3e77,서울특별시_83,1977,서울특별시
133,8ee928782b3e9e5adb4fc2d38ef8c581,부산광역시_49,255,부산광역시
134,abfa74d4f92670e401536f504ef7e41a,부산광역시_62,508,부산광역시
135,4d9e72cb00ddffcf6b93d2824df49743,부산광역시_56,1540,부산광역시
136,e821c915022028dfab8875c00cd0ef37,인천광역시_59,89,인천광역시
137,ea7388c5c0bff2e05b7643565a87c904,경상남도_39,398,경상남도
138,c9911c02639cf0ae63dc81df079afafb,경상남도_68,53,경상남도
139,9066e4eaf0847da687522158d39a212d,충청북도_26,349,충청북도
140,16950a6044575c208f9534b0a6f23008,충청북도_24,591,충청북도
