,name,model,maker,prefix,postfix,kind
86,디올뉴G80,G80,제네시스,0,0,Sedan
87,말리부,말리부,쉐보레/한국GM,0,0,['Sedan']
88,더뉴카니발,카니발,기아,더뉴,0,['van']
89,트래버스,트래버스,쉐보레,0,0,Mid-Large suv
90,에쿠스,에쿠스,현대,0,0,['Sedan']
91,G4렉스턴,렉스턴,쌍용,G4,0,['Mid-Large suv']
92,S60,S60,볼보,0,0,Sedan
93,기아 셀토스,셀토스,기아,0,0,['Small suv']
94,아이오닉 하이브리드,아이오닉,현대,0,0,Sedan
95,쉐보레/한국GM 트랙스,트랙스,쉐보레/한국GM,0,0,['Small suv']
96,티볼리에어,티볼리,쌍용,에어,0,['Small suv']
97,트랙스,트랙스,쉐보레/한국GM,0,0,['Small suv']
98,기아 K5 DL3 HEV,K5,기아,0,0,['Sedan']
99,기아 4세대 쏘렌토 MQ4,쏘렌토,기아,4세대,MQ4,['Mid-Large suv']
100,X6,X6,BMW,0,0,Mid-Large suv
101,랜드로버 디스커버리 스포츠,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv
102,싼타페 TM,싼타페,현대,0,TM,['Mid-Large suv']
103,현대 더 뉴 HEV 그랜저 IG,그랜저,현대,더 뉴 HEV,IG,['Sedan']
104,현대 슈퍼캡 2 일렉트릭 1열 포터 HR,1열 포터,현대,슈퍼캡 2 일렉트릭,HR,['One row truck']
105,올뉴모닝,모닝,기아,올뉴,0,['Sedan']
106,렉서스 IS 2019년형,IS,렉서스,0,0,Sedan
107,카니발리무진,카니발,기아,0,0,['van']
108,쏘렌토,쏘렌토,기아,0,0,['Mid-Large suv']
109,기아 올뉴 K3 BD,K3,기아,올뉴,BD,['Sedan']
110,쉐보레/한국GM 더 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0,['Sedan']
111,볼보 2세대 크로스컨트리 V60 더 뉴,V60,볼보,2세대 크로스컨트리,더 뉴,Mid-Large suv
112,포터2,,현대,0,0,
113,6시리즈 그란투리스모(GT),그란투리스모,마세라티,0,0,Sedan
114,에스컬레이드,에스컬레이드,캐딜락,0,0,Mid-Large suv
115,현대 넥쏘,넥쏘,현대,0,0,['Mid-Large suv']
116,티볼리아머,티볼리,쌍용,아머,0,['Small suv']
117,코란도,코란도,쌍용,0,0,"['Mid-Large suv', 'Small suv']"
118,기아 더뉴 레이 TAM,레이,기아,더뉴,TAM,['Sedan']
119,기아 레이,레이,기아,0,0,['Sedan']
120,싼타페,싼타페,현대,0,0,['Mid-Large suv']
121,베뉴,베뉴,현대,0,0,Small suv
122,CLA클래스,CLA-클래스,벤츠,0,0,['Sedan']
123,현대 1열 포터,1열 포터,현대,0,0,['One row truck']
124,현대 싼타페,싼타페,현대,0,0,['Mid-Large suv']
125,현대 아반떼,아반떼,현대,0,0,"['Sedan', 'Coupe']"
126,E220,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
127,기아 올뉴 모닝 TA,모닝,기아,올뉴,TA,['Sedan']
128,BMW 3 시리즈 G20,3 시리즈,BMW,0,G20,['Sedan']
129,new C클래스,0,0,0,0,
130,기아 R 쏘렌토 XM,쏘렌토,기아,R,XM,['Mid-Large suv']
131,쿠퍼,쿠퍼,미니,0,0,Coupe
132,GOLF GTI,0,0,0,0,
133,아우디 A3,A3,아우디,0,0,['Sedan']
134,뉴모닝,모닝,기아,뉴,0,['Sedan']
135,쌍용 베리 뉴 티볼리 X110,티볼리,쌍용,0,X110,['Small suv']
136,다마스,다마스,쉐보레/한국GM,0,0,Three row truck
137,CLS클래스,CLS-클래스,벤츠,0,0,['Sedan']
138,기아 더 뉴 HEV 니로 DE,니로,기아,더 뉴 HEV,DE,['Small suv']
139,모하비,모하비,기아,0,0,['Mid-Large suv']
140,쌍용 에어 티볼리 X100,티볼리,쌍용,0,X100,['Small suv']
141,ES300h,ES,렉서스,0,0,['Sedan']
142,XC90,XC90,볼보,0,0,Mid-Large suv
143,S500,S-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
144,렉서스 UX 2021년형,UX,렉서스,0,0,Sedan
145,아반떼 ad,아반떼,현대,0,0,Sedan
146,현대 스타렉스,스타렉스,현대,0,0,['van']
147,니로,니로,기아,0,0,['Small suv']
148,i30,i30,현대,0,0,['Sedan']
149,SOUL,쏘울,기아,0,0,['Small suv']
150,현대 코나,코나,현대,0,0,['Small suv']
151,E350,0,0,0,0,
152,현대 팰리세이드,팰리세이드,현대,0,0,['Mid-Large suv']
153,K9,K9,기아,0,0,['Sedan']
154,New코란도,코란도,쌍용,0,0,"['Mid-Large suv', 'Small suv']"
155,제네시스 G80,제네시스,현대,0,0,['Sedan']
156,제네시스쿠페,제네시스,현대,0,0,Sedan
157,현대 더블캡 2 2열 포터 HR,2열 포터,현대,더블캡 2,HR,['Two row truck']
158,그랜져,그랜저,현대,0,0,['Sedan']
159,쏘나타,쏘나타,현대,0,0,['Sedan']
160,현대 팰리세이드 LX2,팰리세이드,현대,0,0,['Mid-Large suv']
161,뉴SM5,SM5,르노삼성,0,0,Sedan
162,현대 쏘나타 NF,쏘나타,현대,0,NF,['Sedan']
163,기아 K5 DL3,K5,기아,0,0,['Sedan']
164,EQ900,EQ900,제네시스,0,0,Sedan
165,쏘나타 뉴라이즈,쏘나타,현대,뉴라이즈,0,Sedan
166,쌍용 티볼리,티볼리,쌍용,0,0,['Small suv']
167,현대 더뉴그랜드 스타렉스 TQ,스타렉스,현대,더뉴그랜드,TQ,['van']
168,SM5,SM5,르노삼성,0,0,['Sedan']
169,X5,X5,BMW,0,0,Mid-Large suv
170,모하비 더마스터,모하비,기아,0,0,Mid-Large suv
171,쏘나타 NF,쏘나타,현대,0,NF,Sedan
172,쉐보레/한국GM 다마스,다마스,쉐보레/한국GM,0,0,Three row truck
173,Jetta,0,0,0,0,
174,현대 더 뉴 N라인 코나 OS,코나,현대,더 뉴 N라인,OS,Small suv
