,name,model,maker,prefix,postfix
127,기아 올뉴 모닝 TA,모닝,기아,올뉴,TA
128,BMW 3 시리즈 G20,3 시리즈,BMW,0,G20
129,new C클래스,0,0,0,0
130,기아 R 쏘렌토 XM,쏘렌토,기아,R,XM
131,쿠퍼,쿠퍼,미니,0,0
132,GOLF GTI,0,0,0,0
133,아우디 A3,A3,아우디,0,0
134,뉴모닝,모닝,기아,뉴,0
135,쌍용 베리 뉴 티볼리 X110,티볼리,쌍용,0,X110
136,다마스,다마스,쉐보레/한국GM,0,0
137,CLS클래스,0,0,0,0
138,기아 더 뉴 HEV 니로 DE,니로,기아,더 뉴 HEV,DE
139,모하비,모하비,기아,0,0
140,쌍용 에어 티볼리 X100,티볼리,쌍용,0,X100
141,ES300h,ES,렉서스,0,0
142,XC90,XC90,볼보,0,0
143,S500,0,0,0,0
144,렉서스 UX 2021년형,UX,렉서스,0,0
145,아반떼 ad,아반떼,현대,0,0
146,현대 스타렉스,스타렉스,현대,0,0
147,니로,니로,기아,0,0
148,i30,i30,현대,0,0
149,SOUL,0,0,0,0
150,현대 코나,코나,현대,0,0
151,E350,0,0,0,0
152,현대 팰리세이드,팰리세이드,현대,0,0
153,K9,K9,기아,0,0
154,New코란도,코란도,쌍용,0,0
155,제네시스 G80,제네시스,현대,0,0
156,제네시스쿠페,제네시스,현대,0,0
157,현대 더블캡 2 2열 포터 HR,2열 포터,현대,더블캡 2,HR
158,그랜져,0,0,0,0
159,쏘나타,쏘나타,현대,0,0
160,현대 팰리세이드 LX2,팰리세이드,현대,0,0
161,뉴SM5,SM5,르노삼성,0,0
162,현대 쏘나타 NF,쏘나타,현대,0,NF
163,기아 K5 DL3,K5,기아,0,0
164,EQ900,EQ900,제네시스,0,0
165,쏘나타 뉴라이즈,쏘나타,현대,뉴라이즈,0
166,쌍용 티볼리,티볼리,쌍용,0,0
167,현대 더뉴그랜드 스타렉스 TQ,스타렉스,현대,더뉴그랜드,TQ
168,SM5,SM5,르노삼성,0,0
169,X5,X5,BMW,0,0
170,모하비 더마스터,모하비,기아,0,0
171,쏘나타 NF,쏘나타,현대,0,NF
172,쉐보레/한국GM 다마스,다마스,쉐보레/한국GM,0,0
173,Jetta,0,0,0,0
174,현대 더 뉴 N라인 코나 OS,코나,현대,더 뉴 N라인,OS
175,현대 HEV 쏘나타 DN8,쏘나타,현대,HEV,DN8
176,르노삼성 SM6,SM6,르노삼성,0,0
177,그랜드카니발,카니발,기아,그랜드,0
178,쌍용 G4 렉스턴 Y400,렉스턴,쌍용,G4,Y400
179,그랜져 TG,0,0,0,0
180,기아 카니발,카니발,기아,0,0
181,현대 넥쏘 FE,넥쏘,현대,0,FE
182,QM5,QM5,르노삼성,0,0
183,더뉴제네시스쿠페,제네시스,현대,0,0
184,싼타페더스타일,싼타페,현대,0,0
185,뉴SM3,SM3,르노삼성,0,0
186,르노삼성 더뉴 QM6 HZG,QM6,르노삼성,0,0
187,벨로스터JS,벨로스터,현대,0,JS
188,현대 4세대(출시예정) 투싼 NX4,NX,렉서스,0,0
189,포르테,포르테,토요타,0,0
190,BMW X5 M F85,X5 M,BMW,0,0
191,그랜저 HG,그랜저,현대,0,HG
192,더뉴소렌토,0,0,0,0
193,포터,0,0,0,0
194,기아 니로,니로,기아,0,0
195,올뉴쏘렌토,쏘렌토,기아,올뉴,0
196,싼타페 DM,싼타페,현대,0,DM
197,BMW 7 시리즈 F01/02,7 시리즈,BMW,0,F01/02
198,아테온,아테온,폭스바겐,0,0
199,기아 1열 봉고,1열 봉고,기아,0,0
200,기아 프리미어 K7 YG,K7,기아,프리미어,YG
201,올뉴K7,K7,기아,올뉴,0
202,911카레라S,911,포르쉐,0,0
203,아반떼 MD,아반떼,현대,0,MD
204,new E클래스,0,0,0,0
205,코란도C,코란도,쌍용,C,0
206,기아 스포티지,스포티지,기아,0,0
207,BMW 5 시리즈 E60/61,5 시리즈,BMW,0,0
208,쉐보레/한국GM 스파크,스파크,쉐보레/한국GM,0,0
209,현대 슈퍼캡 2 1열 포터 HR,1열 포터,현대,슈퍼캡 2,HR
210,뉴스포티지 R,스포티지,기아,R,0
211,기아 EV 니로 DE,니로,기아,EV,DE
212,현대 아반떼 AD,아반떼,현대,0,AD
213,올란도,올란도,쉐보레,0,0
214,E300,0,0,0,0
215,sm5뉴임프레션,0,0,0,0
216,A6,A6,아우디,0,0
217,클리오,클리오,르노,0,0
218,기아 트럭 3 1열 봉고 PU,1열 봉고,기아,트럭 3,PU
219,현대 그랜저 HG,그랜저,현대,0,HG
220,벤츠 C-클래스,C-클래스,벤츠,0,0
221,BMW 5 시리즈 GT,5 시리즈 GT,BMW,0,0
222,기아 뉴R 쏘렌토 XM,쏘렌토,기아,뉴R,XM
223,GLA,0,0,0,0
224,현대 싼타페 CM,싼타페,현대,0,CM
225,현대 코나 OS,코나,현대,0,OS
226,포터2 일렉트릭,0,0,0,0
227,아이오닉,아이오닉,현대,0,0
228,기아 올뉴 쏘렌토 UM,쏘렌토,기아,올뉴,UM
229,쌍용 칸 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0
230,Q70,Q7,아우디,0,0
231,QM3,QM3,르노삼성,0,0
232,XC40,XC40,볼보,0,0
233,아우디 A6,A6,아우디,0,0
234,SM6탈리스만,SM6,르노삼성,0,0
235,기아 2열 봉고,2열 봉고,기아,0,0
