,name,model,maker,prefix,postfix,False_word,model_mod,diff
706,기아 더뉴 하이리무진 카니발 YP,카니발,기아,더뉴 하이리무진,YP,True,카니발,
709,르노삼성 SM6 LFD,SM6,르노삼성,0,0,True,SM6,
710,BMW 7시리즈,7 시리즈,BMW,0,0,True,M 시리즈,True
713,르노삼성 노바 SM7 L47,SM7,르노삼성,노바,L47,True,SM7,
714,토요타 캠리 2019년형,캠리,토요타,0,0,True,6 시리즈 GT,True
715,현대 올뉴 투싼 TL,투싼,현대,0,0,True,6 시리즈 GT,True
730,현대 더프라임 싼타페 DM,싼타페,현대,더프라임,DM,True,싼타페,
731,포드 익스플로러,익스플로러,포드,0,0,True,익스플로러,
732,현대 더뉴 아반떼 MD,아반떼,현대,더뉴,MD,True,아반떼,
735,렉서스 ES시리즈,ES,렉서스,0,0,True,E-시리즈,True
736,기아 더 K9 RJ,K9,기아,더,RJ,True,K9,
742,도요타시에나,시에나,토요타,0,0,True,시에나,
744,E200,E-클래스,벤츠,0,0,True,200,True
745,혼다 어코드 2019년형,어코드,혼다,0,0,True,어코드,
761,르노삼성 뉴임프레션 SM5 EX1/DF,SM5,르노삼성,0,0,True,SM5,
762,르노삼성 QM6 HZG,QM6,르노삼성,0,0,True,QM6,
763,BMW X5,X5,BMW,0,0,True,MX,True
774,아우디 A8,A8,아우디,0,0,True,A8,
777,벤츠 더뉴 C-클래스 세단 W205,C-클래스,벤츠,0,0,True,C-클래스,
778,코란도투리스모,코란도,쌍용,0,0,True,코란도 투리스모,True
786,현대 2 1열 포터 HR,1열 포터,현대,0,HR,True,1열 포터,
787,기아 더마스터 모하비 HM,모하비,기아,0,HM,True,모하비,
790,캡티바,캡티바,홀덴,0,0,True,캡티바,
796,르노삼성 노바 SM5 L43,SM5,르노삼성,0,0,True,SM3,True
797,렉서스 RX 2019년형,RX,렉서스,0,0,True,렉스턴 스포츠,True
800,그랜져5G,그랜저,현대,0,0,True,그랜저,
806,기아 R 카니발 VQ,카니발,기아,R,VQ,True,카니발,
807,BMW3시리즈,3 시리즈,BMW,0,0,True,3 시리즈,
809,임팔라,임팔라,쉐보레,0,0,True,임팔라,
811,기아 더뉴 쏘렌토 UM,쏘렌토,기아,더뉴,UM,True,쏘렌토,
813,벤츠 GLA-클래스,GLA-클래스,벤츠,0,0,True,GLA-클래스,
814,기아 K3 GT YD,K3 GT,기아,0,0,True,K3 GT,
818,제네시스G70,G70,제네시스,0,0,True,제네시스,True
819,BMW5시리즈,5 시리즈,BMW,0,0,True,5 시리즈,
820,제네시스 EQ900 HI,EQ900,제네시스,0,0,True,EQ900,
827,파일럿,파일럿,혼다,0,0,True,파일럿,
836,기아 그랜드 카니발 VQ,카니발,기아,그랜드,VQ,True,그랜드 C4 피카소,True
881,벤츠 new S-Class,S-클래스,벤츠,0,0,True,SC,True
883,벤츠 E-클래스 W213,E-클래스,벤츠,0,0,True,E-클래스,
884,기아 프리미어 K7 YG F/L,K7,기아,프리미어,YG,True,6 시리즈 GT,True
891,현대 F/L 투싼 TL,투싼,현대,0,0,True,6 시리즈 GT,True
894,오피러스,오피러스,기아,0,0,True,오피러스,
897,제네시스 F/L G90 HI,G90,제네시스,0,0,True,제네시스 쿠페,True
898,기아 더뉴 모하비 HM,모하비,기아,0,HM,True,모하비,
900,현대 1열 포터 2 HR,1열 포터,현대,0,HR,True,1열 포터,
905,현대 2열 포터 2 HR,2열 포터,현대,0,HR,True,2열 포터,
906,기아 더 뉴 하이브리드 니로 DE,니로,기아,더 뉴,DE,True,1열 리베로,True
911,쌍용 아머 티볼리 X110,티볼리,쌍용,0,X110,True,티볼리,
913,기아 CUV 스토닉 YB,스토닉,기아,0,YB,True,스토닉,
917,쌍용 베리 뉴 티볼리,티볼리,쌍용,베리 뉴,0,True,티볼리,
919,기아 스팅어 CK,스팅어,기아,0,CK,True,스팅어,
920,기아 트럭 1열 봉고 3 PU,1열 봉고,기아,0,PU,True,1열 봉고,
924,BMW X3,X3,BMW,0,0,True,MX,True
926,벤츠 CLS-클래스 C257,CLS-클래스,벤츠,0,0,True,CLS-클래스,
939,쉐보레/한국GM 올 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0,True,C/K 1500,True
950,기아 PHEV 니로 DE,니로,기아,PHEV,DE,True,니로,
956,기아 쏘울 부스터 SK3,K3,기아,부스터,SK3,True,쿠퍼 로드스터,True
969,NIRO,니로,기아,0,0,True,N-BOX,True
973,기아 쏘울,쏘울,기아,0,0,True,쏘울,
1005,혼다 어코드 2020년형,어코드,혼다,0,0,True,200,True
1007,S450,S-클래스,벤츠,0,0,True,S40,True
1009,아반떼MD,아반떼,현대,0,MD,True,아반떼,
1018,아이오닉하이브리드,아이오닉,현대,0,0,True,아이오닉,
1024,현대 맥스크루즈,맥스크루즈,현대,0,0,True,맥스크루즈,
1027,LF쏘나타,쏘나타,현대,0,LF,True,쏘나타,
1051,제네시스G80스포츠,G80,제네시스,0,0,True,제네시스,True
1052,BMW 6 시리즈 GT,6 시리즈 GT,BMW,0,0,True,6 시리즈 GT,
1054,쉐보레/대우 더뉴 스파크 M400,스파크,쉐보레/한국GM,0,M400,True,C/K 1500,True
1061,소나타 뉴라이즈,쏘나타,현대,0,0,True,소아라,True
1063,쉐보레/대우 더 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0,True,C/K 1500,True
1068,소나타하이브리드,쏘나타,현대,0,0,True,파이브 헌드레드,True
1069,쉐보레/대우 더뉴 트랙스 U200,트랙스,쉐보레/한국GM,0,0,True,C/K 1500,True
1078,쉐보레/대우 말리부,말리부,쉐보레/한국GM,0,0,True,말리부,
1080,BMW 7 시리즈,7 시리즈,BMW,0,0,True,M 시리즈,True
1085,쉐보레/대우 트랙스,트랙스,쉐보레/한국GM,0,0,True,트랙스,
1091,쉐보레/대우 스파크,스파크,쉐보레/한국GM,0,0,True,스파크,
1092,NX300h,NX,렉서스,0,0,True,300C,True
1115,오디세이,오딧세이,혼다,0,0,True,오딧세이,
1130,RX 450h,RX,렉서스,0,0,True,XC40,True
1133,530i,5 시리즈,BMW,0,0,True,500,True
1179,BMWNEW5시리즈,5 시리즈,BMW,0,0,True,E-시리즈,True
1198,쉐보레/대우 F/L 말리부 V400,말리부,쉐보레/한국GM,0,0,True,C/K 1500,True
1209,기아 더뉴 K3 YD,K3,기아,더뉴,YD,True,K3 쿱,True
1223,토요타프리우스C,프리우스C,토요타,0,0,True,프리우스C,
1235,렉서스 ES 2019년형,ES,렉서스,0,0,True,S2000,True
1236,LF소나타,쏘나타,현대,0,0,True,쏘나타,
1282,레인지로버스포츠,레인지로버,랜드로버,0,0,True,레인지로버 스포츠,True
1293,디스커버리스포츠,디스커버리,랜드로버,0,0,True,디스커버리 스포츠,True
1295,G4 렉스턴,렉스턴,쌍용,G4,0,True,렉스턴,
1320,그랜드 스타렉스,스타렉스,현대,0,0,True,그랜드 비타라,True
1331,올 뉴 카니발,카니발,기아,뉴,0,True,카니발,
1354,BMW X3 G01,X3,BMW,0,G01,True,K3 GT,True
1358,렉서스 ES 2021년형,ES,렉서스,0,0,True,S2000,True
1363,제네시스 더 뉴 G70 IK,G70,제네시스,0,0,True,제네시스 쿠페,True
1365,렉서스 ES 2020년형,ES,렉서스,0,0,True,S2000,True
1366,BMW 7 시리즈 G11/12,7 시리즈,BMW,0,G11/12,True,6 시리즈 GT,True
1367,포르쉐 카이엔,카이엔,포르쉐,0,0,True,카이엔,
1372,쌍용 올 뉴 G4 렉스턴 Y400,렉스턴,쌍용,올 뉴 G4,Y400,True,렉스턴 스포츠,True
1381,벤츠 S-클래스 W222,S-클래스,벤츠,0,W222,True,S-클래스,
1387,쉐보레/한국GM 블레이저,블레이저,쉐보레,0,0,True,트레일블레이저,True
1389,BMW X7,X7,BMW,0,0,True,MX,True
1392,르노삼성 더 뉴 SM6 LFD,SM6,르노삼성,0,0,True,SM6,
1407,BMW X5 G05,X5,BMW,0,0,True,505,True
1419,벤츠 A-클래스 세단 V177,A-클래스,벤츠,0,세단 V177,True,A-클래스,
1466,아우디 더 뉴 A6 C8,A6,아우디,더 뉴,C8,True,A8,True
1486,르노삼성 캡처,캡처,르노삼성,0,0,True,캡처,
1495,벤츠 F/L GLC-클래스 X253,GLC-클래스,벤츠,0,0,True,GLC-클래스,
1568,포르쉐 파나메라,파나메라,포르쉐,0,0,True,파나메라,
1653,렉서스 NX 2020년형,NX,렉서스,0,0,True,200,True
2207,렉서스 NX 2019년형,NX,렉서스,0,0,True,렉스턴 스포츠,True
2415,그랜저,그랜저,현대,0,0,True,그랜저,
