,name,model,maker,prefix,postfix,kind
128,싼타페 DM,싼타페,현대,0,FE,Mid-Large suv
129,기아 1열 봉고,1열 봉고,기아,0,0,One row truck
130,기아 프리미어 K7 YG,K7,기아,0,0,Sedan
131,올뉴K7,K7,기아,0,0,Sedan
132,아반떼 MD,아반떼,현대,0,0,Sedan
133,코란도C,코란도,쌍용,0,0,Mid-Large suv
134,기아 스포티지,스포티지,기아,0,0,Mid-Large suv
135,쉐보레/한국GM 스파크,스파크,쉐보레/한국GM,0,0,Sedan
136,현대 슈퍼캡 2 1열 포터 HR,1열 포터,현대,올뉴,0,One row truck
137,뉴스포티지 R,스포티지,기아,0,DM,Mid-Large suv
138,기아 EV 니로 DE,니로,기아,0,0,Small suv
139,현대 아반떼 AD,아반떼,현대,프리미어,YG,Sedan
140,올란도,올란도,쉐보레,올뉴,0,Small suv
141,기아 트럭 3 1열 봉고 PU,1열 봉고,기아,0,MD,One row truck
142,현대 그랜저 HG,그랜저,현대,C,0,Sedan
143,벤츠 C-클래스,C-클래스,벤츠,0,0,Sedan
144,기아 뉴R 쏘렌토 XM,쏘렌토,기아,0,0,Mid-Large suv
145,현대 싼타페 CM,싼타페,현대,슈퍼캡 2,HR,Mid-Large suv
146,현대 코나 OS,코나,현대,R,0,Small suv
147,아이오닉,아이오닉,현대,EV,DE,Sedan
148,기아 올뉴 쏘렌토 UM,쏘렌토,기아,0,AD,Mid-Large suv
149,아우디 A6,A6,아우디,0,0,Sedan
150,기아 2열 봉고,2열 봉고,기아,0,0,Two row truck
151,현대 아반떼 MD,아반떼,현대,0,0,Sedan
152,쏘렌토R,쏘렌토,기아,트럭 3,PU,Mid-Large suv
153,스포티지,스포티지,기아,0,HG,Mid-Large suv
154,기아 모하비 HM,모하비,기아,0,0,Mid-Large suv
155,현대 그랜저 TG,그랜저,현대,뉴R,XM,Sedan
156,기아 K3,K3,기아,0,0,Sedan
157,현대 2열 포터,2열 포터,현대,0,CM,Two row truck
158,벤츠 S-클래스,S-클래스,벤츠,0,OS,Sedan
159,볼트EV,볼트,쉐보레/한국GM,0,0,Sedan
160,기아 올뉴 카니발 YP,카니발,기아,올뉴,UM,van
161,현대 쏘나타,쏘나타,현대,0,0,Sedan
162,기아 4세대 HEV 쏘렌토 MQ4,쏘렌토,기아,0,0,Mid-Large suv
163,토요타 RAV4,RAV4,토요타,0,0,Mid-Large suv
164,뉴스포티지,스포티지,기아,0,0,Mid-Large suv
165,스토닉,스토닉,기아,0,0,Small suv
166,프라이드,프라이드,기아,0,MD,Sedan
167,아슬란,아슬란,현대,0,0,Sedan
168,더넥스트스파크,스파크,쉐보레/한국GM,R,0,Sedan
169,기아 마이스터 스팅어 CK,스팅어,기아,0,0,Sedan
170,현대 신형 에쿠스 VI,에쿠스,현대,0,HM,Sedan
171,THE K9,K9,기아,0,0,Sedan
172,벤츠 E-클래스,E-클래스,벤츠,0,TG,Sedan
173,포드 All New 익스플로러,익스플로러,포드,0,0,Mid-Large suv
174,스팅어,스팅어,기아,0,0,Sedan
175,올뉴스포티지,스포티지,기아,0,0,Mid-Large suv
176,현대 EV 코나 OS,코나,현대,0,EV,Small suv
177,토요타 RAV4 2019년형,RAV4,토요타,올뉴,YP,Mid-Large suv
178,알페온,알페온,쉐보레/한국GM,0,0,Sedan
179,스포티지R,스포티지,기아,0,0,Mid-Large suv
180,올뉴K3,K3,기아,4세대 HEV,MQ4,Sedan
181,현대 베뉴,베뉴,현대,0,0,Small suv
182,현대 트랜스폼 쏘나타 NF,쏘나타,현대,0,0,Sedan
183,현대 쏘나타 YF,쏘나타,현대,뉴,0,Sedan
184,토요타 RAV4 2020년형,RAV4,토요타,0,0,Mid-Large suv
185,더뉴레이,레이,기아,0,0,Sedan
186,익스플로러,익스플로러,포드,0,0,Mid-Large suv
187,현대 더럭셔리 그랜저 TG,그랜저,현대,0,HM,Sedan
188,쌍용 렉스턴,렉스턴,쌍용,0,0,Mid-Large suv
189,기아 모닝,모닝,기아,0,0,Sedan
190,캠리,캠리,토요타,0,0,Sedan
191,아발론,아발론,토요타,더넥스트,0,Sedan
192,토요타 캠리,캠리,토요타,마이스터,CK,Sedan
193,현대 아반떼 HD,아반떼,현대,신형,VI,Sedan
194,싼타페TM,싼타페,현대,0,0,Mid-Large suv
195,로체,로체,기아,0,0,Sedan
196,토요타 캠리 2020년형,캠리,토요타,0,0,Sedan
197,그랜저IG,그랜저,현대,All New,0,Sedan
198,아반떼ad,아반떼,현대,0,0,Sedan
199,K7하이브리드,K7,기아,0,0,Sedan
200,기아 더뉴 카니발 YP,카니발,기아,뉴,0,van
201,싼타페DM,싼타페,현대,0,0,Mid-Large suv
202,아우디 A4,A4,아우디,0,0,Sedan
203,그랜저HG,그랜저,현대,EV,OS,Sedan
204,쌍용 코란도,코란도,쌍용,0,0,Mid-Large suv
205,기아 뉴 모닝 SA,모닝,기아,0,0,Sedan
206,싼타페CM,싼타페,현대,0,0,Mid-Large suv
207,그랜저IG하이브리드,그랜저,현대,0,0,Sedan
208,투싼IX,투싼,현대,0,0,Mid-Large suv
209,GLC,GLC-클래스,벤츠,0,0,Mid-Large suv
210,아반떼HD,아반떼,현대,R,0,Sedan
211,현대 뉴라이즈 쏘나타 LF,쏘나타,현대,올뉴,0,Sedan
212,기아 더뉴 K7 VG,K7,기아,0,0,Sedan
213,르노삼성 SM7,SM7,르노삼성,0,0,Sedan
214,CR-V,CR-V,혼다,트랜스폼,NF,Small suv
215,현대 제네시스 DH,제네시스,현대,0,YF,Sedan
216,랜드로버 디스커버리,디스커버리,랜드로버,0,0,Mid-Large suv
217,기아 오피러스,오피러스,기아,0,0,Sedan
218,쏘나타LF,쏘나타,현대,0,0,Sedan
219,NF쏘나타,쏘나타,현대,더뉴,0,Sedan
