,name,maker,model,kind
465,르노삼성 뉴임프레션 SM5 EX1/DF,르노삼성,SM5,['Sedan']
466,르노삼성 QM6 HZG,르노삼성,QM6,['Mid-Large suv']
467,BMW X5,BMW,X5,['Mid-Large suv']
468,벤츠 더뉴 C-클래스 세단 W205,벤츠,C-클래스,"['Coupe', 'Sedan']"
469,기아 더마스터 모하비 HM,기아,모하비,['Mid-Large suv']
470,르노삼성 노바 SM5 L43,르노삼성,SM5,['Sedan']
471,벤츠 GLA-클래스,벤츠,GLA-클래스,['Small suv']
472,기아 K3 GT YD,기아,K3 GT,['Sedan']
473,제네시스G70,제네시스,G70,['Sedan']
474,제네시스 EQ900 HI,제네시스,EQ900,['Sedan']
475,현대 F/L 투싼 TL,현대,투싼,['Mid-Large suv']
476,제네시스 F/L G90 HI,제네시스,G90,['Sedan']
477,쌍용 아머 티볼리 X110,쌍용,티볼리,['Small suv']
478,벤츠 CLS-클래스 C257,벤츠,CLS-클래스,['Sedan']
479,쉐보레/한국GM 올 뉴 말리부 V400,쉐보레/한국GM,말리부,['Sedan']
480,기아 쏘울 부스터 SK3,기아,쏘울,['Small suv']
481,S450,벤츠,S-클래스,"['Coupe', 'Sedan']"
482,현대 맥스크루즈,현대,맥스크루즈,['Mid-Large suv']
483,제네시스G80스포츠,제네시스,G80,['Sedan']
484,BMW 6 시리즈 GT,BMW,6 시리즈 GT,['Sedan']
485,쉐보레/대우 더뉴 스파크 M400,쉐보레/한국GM,스파크,['Sedan']
486,쉐보레/대우 더 뉴 말리부 V400,쉐보레/한국GM,말리부,['Sedan']
487,쉐보레/대우 더뉴 트랙스 U200,쉐보레/한국GM,트랙스,['Small suv']
488,NX300h,렉서스,NX,['Mid-Large suv']
489,RX 450h,렉서스,RX,['Mid-Large suv']
490,530i,BMW,5 시리즈,['Sedan']
491,쉐보레/대우 F/L 말리부 V400,쉐보레/한국GM,말리부,['Sedan']
492,토요타프리우스C,토요타,프리우스C,['Sedan']
493,레인지로버스포츠,랜드로버,레인지로버 스포츠,['Mid-Large suv']
494,디스커버리스포츠,랜드로버,디스커버리 스포츠,['Mid-Large suv']
495,제네시스 더 뉴 G70 IK,제네시스,G70,['Sedan']
496,쉐보레/한국GM 블레이저,쉐보레/한국GM,블레이저,['Mid-Large suv']
497,르노삼성 더 뉴 SM6 LFD,르노삼성,SM6,['Sedan']
498,BMW X5 G05,BMW,X5,['Mid-Large suv']
499,벤츠 F/L GLC-클래스 X253,벤츠,GLC-클래스,['Mid-Large suv']
