,name,model,maker,prefix,postfix,kind
0,그랜저 IG 하이브리드,그랜저,현대,0,IG,Sedan
1,더뉴 K5,K5,기아,0,0,Sedan
2,아이오닉 하이브리드,아이오닉,현대,0,0,Sedan
3,렉서스 IS 2019년형,IS,렉서스,0,0,Sedan
4,에스컬레이드,에스컬레이드,캐딜락,0,0,Mid-Large suv
5,베뉴,베뉴,현대,0,0,Small suv
6,쿠퍼,쿠퍼,미니,0,0,Coupe
7,뉴SM5,SM5,르노삼성,0,0,Sedan
8,X5,X5,BMW,0,0,Mid-Large suv
9,모하비 더마스터,모하비,기아,0,0,Mid-Large suv
10,911카레라S,911,포르쉐,0,0,Coupe
11,블레이저,블레이저,쉐보레,0,0,Mid-Large suv
12,GLK,0,0,0,0,
13,sm5노바,0,0,0,0,
14,SM520,SM5,르노삼성,0,0,Sedan
15,쉐보레/한국GM 크루즈 J300,크루즈,홀덴,0,J300,Sedan
16,기아 쏘울 AM,쏘울,기아,0,AM,Small suv
17,e-트론,0,0,0,0,
18,V60,V60,볼보,0,0,Mid-Large suv
19,맥시마,맥시마,닛산,0,0,Sedan
20,토요타 캠리 2015년형,캠리,토요타,0,0,Sedan
21,쉐보레/한국GM 올란도 J309,올란도,쉐보레,0,J309,Mid-Large suv
22,현대 그랜져TG,0,0,0,0,
23,현대 포터,0,0,0,0,
24,현대 투싼IX,투싼,현대,0,0,Mid-Large suv
25,기아 프라이드 JB,프라이드,기아,0,JB,Sedan
26,500x,0,0,0,0,
27,캐딜락 CT6,CT6,캐딜락,0,0,Sedan
28,기아 PHEV K5 JK,K5,기아,0,0,Sedan
29,쉐보레/한국GM 크루즈,크루즈,홀덴,0,0,Sedan
30,쉐보레 볼트EV,볼트,쉐보레/한국GM,0,EV,Sedan
31,쉐보레 임팔라,임팔라,쉐보레,0,0,Sedan
32,현대 뉴 쏘나타 EF,쏘나타,현대,뉴,EF,Sedan
33,bmw 530i,0,0,0,0,
34,링컨 노틸러스,노틸러스,링컨,0,0,Mid-Large suv
35,루비콘,루비콘,지프,0,0,Mid-Large suv
36,벤츠 C200카브리올레,0,0,0,0,
37,렉서스UX,UX,렉서스,0,0,Sedan
38,폭스바겐 페이톤,페이톤,폭스바겐,0,0,Sedan
39,쉐보레/한국GM 올뉴 마티즈 M200/250,0,0,0,0,
40,렉서스RX시리즈,0,0,0,0,
41,G2X,0,0,0,0,
42,벤츠 S-클래스 W221,S-클래스,벤츠,0,W221,Sedan
43,아베오,아베오,쉐보레/한국GM,0,0,Sedan
44,벤츠 더뉴 GLE-클래스 W167,GLE-클래스,벤츠,0,0,Mid-Large suv
45,폭스바겐 -,0,0,0,0,
46,BMW 1 시리즈,1 시리즈,BMW,0,0,Sedan
47,현대 뉴 그랜저 XG,그랜저,현대,뉴,XG,Sedan
48,혼다 파일럿,파일럿,혼다,0,0,Mid-Large suv
49,혼다 시빅,시빅,혼다,0,0,Sedan
50,링컨 MKS 2019년형,MKS,링컨,0,0,Sedan
51,볼보 FH500 2020년형,0,0,0,0,
52,HALEYCAR  ,0,0,0,0,
