,name,model,maker,prefix,postfix,kind
103,기아 쎄라토,쎄라토,기아,0,0,Sedan
104,트라고,0,0,0,0,
105,벤츠 SL-클래스,SL-클래스,벤츠,0,0,Coupe
106,타코마,0,0,0,0,
107,EF쏘나타,쏘나타,현대,0,EF,Sedan
108,혼다 CR-V 2019년형,CR-V,혼다,0,0,Small suv
109,쌍용 슈퍼 렉스턴 Y200,0,0,0,0,
110,현대 HEV 아이오닉 AE,아이오닉,현대,HEV,AE,Sedan
111,G330,0,0,0,0,
112,폭스바겐 골프 2015년형,골프,폭스바겐,0,0,Sedan
113,420D,0,0,0,0,
114,쉐보레/대우 올 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0,Sedan
115,525D,0,0,0,0,
116,포르테해치백(5-door),포르테,토요타,0,0,Sedan
117,레니게이드,레니게이드,지프,0,0,Small suv
118,기아 모닝 SA,모닝,기아,0,SA,Sedan
119,엑스트레일,0,0,0,0,
120,쉐보레/대우 토스카 V250,토스카,쉐보레/한국GM,0,0,Sedan
121,E200카브리올레,0,0,0,0,
122,쉐보레/대우 라보,라보,쉐보레/한국GM,0,0,One row truck
123,폭스바겐 티구안 2019년형,티구안,폭스바겐,0,0,Mid-Large suv
124,볼보 XC90 2018년형,XC90,볼보,0,0,Mid-Large suv
125,QM6 HZG,QM6,르노삼성,0,0,Mid-Large suv
126,더뉴 K5 JF,K5,기아,0,0,Sedan
127,렉서스 ES 350,ES,렉서스,0,0,Sedan
128,갤로퍼2,갤로퍼,현대,0,0,Mid-Large suv
129,B클래스,0,0,0,0,
130,에쿠스리무진,에쿠스,현대,0,0,Sedan
131,올뉴마티즈,마티즈,쉐보레/한국GM,올뉴,0,Sedan
132,E페이스,E페이스,재규어,0,0,Small suv
133,A45 AMG,A4,아우디,0,0,Sedan
134,올 뉴 마티즈,마티즈,쉐보레/한국GM,0,0,Sedan
135,뉴코란도,코란도,쌍용,뉴,0,Small suv
136,렉서스 LS 460,0,0,0,0,
137,프리우스V,프리우스,토요타,0,0,Sedan
138,ES 300h,ES,렉서스,0,0,Sedan
139,NEW SM6,SM6,르노삼성,0,0,Sedan
140,마티즈 크리에이티브,마티즈,쉐보레/한국GM,크리에이티브,0,Sedan
141,싼타페 더스타일,싼타페,현대,0,0,Mid-Large suv
142,뉴 오피러스,오피러스,기아,뉴,0,Sedan
143,토요타 RAV4 2021년형,RAV4,토요타,0,0,Mid-Large suv
144,미니 클럽맨,클럽맨,미니,0,0,Sedan
145,벤츠 CLA-클래스 C117,CLA-클래스,벤츠,0,0,Sedan
146,BMW 3 시리즈  GT F34,3 시리즈,BMW,0,0,Sedan
147,마세라티 르반떼 2018년형,르반떼,마세라티,0,0,Mid-Large suv
148,레인지로버 디스크버리 카라무,레인지로버,랜드로버,0,0,Mid-Large suv
149,벤츠 세부 분류,0,0,0,0,
150,벤츠 A-클래스 해치백 W177,A-클래스,벤츠,0,해치백 W177,Sedan
151,시트로엥 DS3 2012년형,DS3,시트로엥,0,0,Sedan
152,아우디 A8 D4/4H,A8,아우디,0,D4/4H,Sedan
153,피아트 500,0,0,0,0,
154,닛산 주크,주크,닛산,0,0,Small suv
155,폭스바겐 제타,제타,폭스바겐,0,0,Sedan
156,벤츠 GT-클래스 GT63 AMG 4DOOR X290,GT-클래스,벤츠,0,0,Sedan
157,현대 투스카니,투스카니,현대,0,0,Coupe
