,name,model,maker,prefix,postfix,kind
0,XC60,XC60,볼보,0,0,Mid-Large suv
1,X3,X3,BMW,0,0,Mid-Large suv
2,G80,G80,제네시스,0,0,Sedan
3,CT6,CT6,캐딜락,0,0,Sedan
4,X6,X6,BMW,0,0,Mid-Large suv
5,랜드로버 디스커버리 스포츠,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv
6,new C클래스,0,0,0,0,
7,다마스,다마스,쉐보레/한국GM,0,0,Three row truck
8,쏘나타 뉴라이즈,쏘나타,현대,뉴라이즈,0,Sedan
9,콜로라도,콜로라도,홀덴,0,0,Mid-Large suv
10,마이티 2.5T,0,0,0,0,
11,X4,X4,BMW,0,0,Mid-Large suv
12,지프 체로키,체로키,지프,0,0,Mid-Large suv
13,파사트,파사트,폭스바겐,0,0,Sedan
14,XT5,XT5,캐딜락,0,0,Mid-Large suv
15,F-페이스,0,0,0,0,
16,QX50,QX,인피니티,0,0,Mid-Large suv
17,쉐보레 스파크,스파크,쉐보레/한국GM,0,0,Sedan
18,기아 K7하이브리드,K7,기아,하이브리드,0,Sedan
19,쉐보레 콜로라도,콜로라도,홀덴,0,0,Mid-Large suv
20,Audi A5,A5,아우디,0,0,Sedan
21,렉서스 IS 250,IS,렉서스,0,0,Sedan
22,현대 클릭,클릭,현대,0,0,Sedan
23,쉐보레/한국GM 뉴 라보,라보,쉐보레/한국GM,뉴,0,One row truck
24,기아 뉴쏘렌토R,쏘렌토,기아,뉴,0,Mid-Large suv
25,혼다 오디세이,0,0,0,0,
26,벤츠 C220d 4matic,0,0,0,0,
27,bmw X5,X5,BMW,0,0,Mid-Large suv
28,쌍용 W 렉스턴 Y200,0,0,0,0,
29,쌍용 티볼리아머,티볼리,쌍용,아머,0,Small suv
30,인피니티 G37,0,0,0,0,
31,E300Amg,0,0,0,0,
32,혼다 CR-V,CR-V,혼다,0,0,Small suv
33,폭스바겐 Golf TDI,0,0,0,0,
34,리프,리프,닛산,0,0,Sedan
35,Audi Q5,Q5,아우디,0,0,Mid-Large suv
36,아우디 A6 C7,A6,아우디,0,C7,Sedan
37,기아 세부 분류,0,0,0,0,
38,토요타 시에나 2020년형,시에나,토요타,0,0,van
39,르노삼성 뉴아트 SM7 EX2,SM7,르노삼성,0,0,Sedan
40,쉐보레/한국GM 크리에이티브 마티즈 M300,마티즈,쉐보레/한국GM,0,0,Sedan
41,익스프로러밴,0,0,0,0,
42,기아 뉴오피러스,오피러스,기아,뉴,0,Sedan
43,현대 소나타하이브리드,0,0,0,0,
44,시보레 콜로라도,콜로라도,홀덴,0,0,Mid-Large suv
45,카마로,카마로,쉐보레,0,0,Coupe
46,쉐보레/한국GM 이쿼녹스,이쿼녹스,쉐보레/한국GM,0,0,Small suv
47,쉐보레/한국GM 맥스 윈스톰 C105,윈스톰,쉐보레/한국GM,0,0,Mid-Large suv
48,AD,0,0,0,0,
49,기아 K3 GT,K3 GT,기아,0,0,Sedan
50,현대 싼타페 SM,싼타페,현대,0,SM,Mid-Large suv
51,벤츠 B-클래스 W247,B-클래스,벤츠,0,W247,Small suv
52,벤츠 B-클래스,B-클래스,벤츠,0,0,Small suv
53,람보르기니 레벤톤 2019년형,레벤톤,람보르기니,0,0,Coupe
54,쉐보레/한국GM 아베오,아베오,쉐보레/한국GM,0,0,Sedan
55,New 액센트,0,0,0,0,
56,쉐보레/한국GM 마티즈,마티즈,쉐보레/한국GM,0,0,Sedan
57,기아 더뉴 HEV K5 JF,K5,기아,0,0,Sedan
58,308SW,308SW,푸조,0,0,Small suv
59,기아 이노베이션 로체 MG,로체,기아,이노베이션,MG,Sedan
60,르노삼성 르노 마스터 버스,마스터,르노,0,버스,van
61,혼다 오딧세이,오딧세이,혼다,0,0,van
62,소형버스 LESTAR,ES,렉서스,0,0,Sedan
63,기아 하이브리드 K5 TF,K5,기아,0,0,Sedan
64,캐딜락 에스컬레이드 2019년형,에스컬레이드,캐딜락,0,0,Mid-Large suv
65,르노삼성 트위지,트위지,르노삼성,0,0,Coupe
66,현대 스타렉스 A1,스타렉스,현대,0,A1,van
67,뉴체어맨,체어맨,쌍용,뉴,0,Sedan
68,벤츠 AMG GT,0,0,0,0,
69,베르나,베르나,현대,0,0,Sedan
70,볼보 XC60 2019년형,XC60,볼보,0,0,Mid-Large suv
71,비이스만 로드스터,로드스터,비이스만,0,0,Coupe
72,르노삼성 SM3 N17,SM3,르노삼성,0,0,Sedan
73,현대 PHEV 아이오닉 AE,아이오닉,현대,PHEV,AE,Sedan
74,BMW 4 시리즈,4 시리즈,BMW,0,0,Sedan
75,포드 토러스,토러스,포드,0,0,Sedan
76,미니 2열 쿠퍼 2014년형,2열 쿠퍼,미니,0,0,Sedan
77,쉐보레/대우 라세티,라세티,쉐보레/한국GM,0,0,Sedan
78,닛산 큐브,큐브,닛산,0,0,Sedan
79,혼다 어코드 2009년형,0,0,0,0,
80,쌍용 체어맨,체어맨,쌍용,0,0,Sedan
81,HR-V,HR-V,혼다,0,0,Sedan
82,5008,5008,푸조,0,0,Small suv
83,SL클래스,0,0,0,0,
84,베리타스VERITAS,베리타스,쉐보레/한국GM,0,0,Sedan
85,BMW 3 시리즈 F30/31/34,3 시리즈,BMW,0,F30/31/34,Sedan
86,뉴비틀 Cabriolet,비틀,폭스바겐,0,0,Sedan
87,현대 테라칸 HP,테라칸,현대,0,HP,Mid-Large suv
88,쉐보레/대우 크리에이티브 마티즈 M300,마티즈,쉐보레/한국GM,0,0,Sedan
89,윈스톰맥스,윈스톰,쉐보레/한국GM,맥스,0,Mid-Large suv
90,볼보 V60 2019년형,V60,볼보,0,0,Mid-Large suv
91,BMWNEW7시리즈,0,0,0,0,
92,508SW,508SW,푸조,0,0,Small suv
93,기아 오피러스 GH,오피러스,기아,0,GH,Sedan
94,CTS,CTS,캐딜락,0,0,Sedan
95,118D,0,0,0,0,
96,르노삼성 올뉴 SM7 L47,SM7,르노삼성,올뉴,L47,Sedan
97,기아 카니발 2 KV-II,카니발,기아,2,KV-II,van
98,재규어 XE,XE,재규어,0,0,Sedan
99,랜드로버 레인지로버 스포츠,레인지로버 스포츠,랜드로버,0,0,Mid-Large suv
100,K5터보GDi,K5,기아,0,0,Sedan
101,컨티넨탈,컨티넨탈,링컨,0,0,Sedan
102,S90,S90,볼보,0,0,Sedan
103,쌍용 액티언,액티언,쌍용,0,0,Mid-Large suv
104,ATS,ATS,캐딜락,0,0,Sedan
105,볼보 XC 2018년형,0,0,0,0,
106,Golf GTD,0,0,0,0,
107,액티언,액티언,쌍용,0,0,Mid-Large suv
108,2011폭스바겐Jetta,0,0,0,0,
109,미니컨트리맨,컨트리맨,미니,0,0,Small suv
110,푸조 308MCP,308,푸조,0,0,Coupe
111,지프랭글러,랭글러,지프,0,0,Mid-Large suv
112,뉴그랜져 XG,0,0,0,0,
113,뉴 카니발,카니발,기아,뉴,0,van
114,SM6 탈리스만,SM6,르노삼성,0,0,Sedan
115,미니 쿠퍼,0,0,0,0,
116,렉서스 UX,UX,렉서스,0,0,Sedan
117,BMW X5 M,X5 M,BMW,0,0,Mid-Large suv
118,아우디 A4 B9,A4,아우디,0,B9,Sedan
119,포르쉐 카이엔 9Y0,카이엔,포르쉐,0,9Y0,Mid-Large suv
120,BMW X6 G06,X6,BMW,0,G06,Mid-Large suv
121,캐딜락 XT6 2021년형,XT6,캐딜락,0,0,Mid-Large suv
122,BMW M4,M4,BMW,0,0,Sedan
123,재규어 XJ 2014년형,XJ,재규어,0,0,Sedan
124,인피니티 G 시리즈,G 시리즈,인피니티,0,0,Sedan
125,포드 F-시리즈,F-시리즈,포드,0,0,Mid-Large suv
126,벤츠 E-클래스 쿠페 C213,E-클래스,벤츠,0,0,Sedan
127,캐딜락 에스컬레이드 2020년형,에스컬레이드,캐딜락,0,0,Mid-Large suv
128,벤츠 SLS AMG,SLS AMG,벤츠,0,0,Coupe
129,재규어 XF,XF,재규어,0,0,Sedan
130,닷지 램 픽업 2021년형,램 픽업,닷지,0,0,Mid-Large suv
131,포르쉐 마칸 2021년형,마칸,포르쉐,0,0,Mid-Large suv
132,닛산 올 뉴 알티마 L34,알티마,닛산,올 뉴,L34,Sedan
133,아우디 Q7 2020년형,Q7,아우디,0,0,Mid-Large suv
134,랜드로버 디스커버리 2018년형,디스커버리,랜드로버,0,0,Mid-Large suv
135,벤츠 CLA-클래스 C117: CLA45 AMG,CLA-클래스,벤츠,0,0,Sedan
136,폭스바겐 아테온 2021년형,아테온,폭스바겐,0,0,Sedan
137,BMW M6,M6,BMW,0,0,Sedan
138,지프 체로키 2020년형,체로키,지프,0,0,Mid-Large suv
139,쉐보레 콜로라도 2020년형,콜로라도,홀덴,0,0,Mid-Large suv
140,캐딜락 CT6 2016년형,CT6,캐딜락,0,0,Sedan
141,크라이슬러 300C 2013년형,300C,크라이슬러,0,0,Sedan
142,링컨 노틸러스 2021년형,노틸러스,링컨,0,0,Mid-Large suv
143,맥라렌 GT,0,0,0,0,
144,렉서스 LS 2011년형,0,0,0,0,
145,렉서스 NX 2015년형,NX,렉서스,0,0,Mid-Large suv
146,벤츠 마이바흐 XL222,마이바흐,벤츠,0,XL222,Sedan
147,토요타 도요타86,도요타86,토요타,0,0,Coupe
148,지프 체로키 2019년형,체로키,지프,0,0,Mid-Large suv
149,랜드로버 레인지로버 보그 2019년형,레인지로버 보그,랜드로버,0,0,Mid-Large suv
150,마세라티 콰트로포르테,콰트로포르테,마세라티,0,0,Sedan
151,아우디 TT 2015년형,TT,아우디,0,0,Sedan
152,렉서스 ES 2015년형,ES,렉서스,0,0,Sedan
153,포르쉐 911 2016년형,911,포르쉐,0,0,Coupe
154,현대 뉴 엑센트 X3,엑센트,현대,0,0,Sedan
155,폭스바겐 골프 2012년형,골프,폭스바겐,0,0,Sedan
156,기아 더뉴 K9 KH,K9,기아,더뉴,KH,Sedan
157,마세라티 기블리 2016년형,기블리,마세라티,0,0,Sedan
158,재규어 XF 2019년형,XF,재규어,0,0,Sedan
159,벤츠 G-클래스 W463: G63 AMG 6x6,G-클래스,벤츠,0,W463: G63 AMG 6x6,Mid-Large suv
160,아우디 스포트백(4도어) A5,A5,아우디,0,0,Sedan
161,렉서스 ES 2018년형,ES,렉서스,0,0,Sedan
162,토요타 프리우스 2015년형,프리우스,토요타,0,0,Sedan
163,벤츠 C-클래스 세단 W205,C-클래스,벤츠,0,0,Sedan
164,랜드로버 레인지로버 2010년형,레인지로버,랜드로버,0,0,Mid-Large suv
