,name,model,maker,prefix,postfix,kind
0,쏘나타 LF,쏘나타,현대,0,LF,Sedan
1,싼타페 CM,싼타페,현대,0,CM,Mid-Large suv
2,기아 와이드 1열 봉고 SR,1열 봉고,기아,와이드,SR,One row truck
3,디올뉴G80,G80,제네시스,0,0,Sedan
4,S60,S60,볼보,0,0,Sedan
5,6시리즈 그란투리스모(GT),그란투리스모,마세라티,0,0,Sedan
6,XC90,XC90,볼보,0,0,Mid-Large suv
7,쉐보레/한국GM 다마스,다마스,쉐보레/한국GM,0,0,Three row truck
8,A6,A6,아우디,0,0,Sedan
9,BMW 5 시리즈 GT,5 시리즈 GT,BMW,0,0,Sedan
10,포터2 일렉트릭,0,0,0,0,
11,K7 하이브리드,K7,기아,하이브리드,0,Sedan
12,르노삼성 뉴 QM5 H45,QM5,르노삼성,0,0,Small suv
13,현대 뉴라이즈 PHEV 쏘나타 LF,쏘나타,현대,뉴라이즈 PHEV,LF,Sedan
14,MKZ,MKZ,링컨,0,0,Sedan
15,X1,X1,BMW,0,0,Mid-Large suv
16,E-마이티 2,0,0,0,0,
17,쌍용 뉴스타일C 코란도 C200,코란도,쌍용,0,0,Small suv
18,티구안,티구안,폭스바겐,0,0,Mid-Large suv
19,모델 S,모델 S,테슬라,0,0,Sedan
20,8시리즈,0,0,0,0,
21,기아 봉고 버스,봉고 버스,기아,0,0,van
22,마티즈크리에이티브,마티즈,쉐보레/한국GM,크리에이티브,0,Sedan
23,6시리즈,0,0,0,0,
24,120D,0,0,0,0,
25,혼다 인사이트,인사이트,혼다,0,0,Sedan
26,푸조208,208,푸조,0,0,Sedan
27,랜드로버 레인지로버스포츠,레인지로버,랜드로버,0,0,Mid-Large suv
28,캐딜락 XT6,XT6,캐딜락,0,0,Mid-Large suv
29,포드 몬데오,몬데오,포드,0,0,Sedan
30,BMWX5,X5,BMW,0,0,Mid-Large suv
31,현대 제네시스G330,제네시스,현대,0,0,Sedan
32,ㅁㅇㄹㅁㄹ,0,0,0,0,
33,카이런,카이런,쌍용,0,0,Mid-Large suv
34,BMW M3 E46,M3,BMW,0,E46,Sedan
35,기아 THE K9,K9,기아,0,0,Sedan
36,기아 스포티지R,스포티지,기아,R,0,Mid-Large suv
37,테슬라 모델 S,모델 S,테슬라,0,0,Sedan
38,티구안 올스페이스,티구안,폭스바겐,0,0,Mid-Large suv
39,포르쉐 마칸,마칸,포르쉐,0,0,Mid-Large suv
40,쉐보레 올란도,올란도,쉐보레,0,0,Mid-Large suv
41,토스카,토스카,쉐보레/한국GM,0,0,Sedan
42,BMW X5 E70,X5,BMW,0,0,Mid-Large suv
43,기아 프라이드 UB,프라이드,기아,0,UB,Sedan
44,기아 뉴 카렌스 UN,카렌스,기아,뉴,UN,Small suv
45,볼보V60,V60,볼보,0,0,Mid-Large suv
46,쉐보레 캡티바,캡티바,홀덴,0,0,Mid-Large suv
47,현대 더 뉴 PHEV 아이오닉 AE,아이오닉,현대,더 뉴 PHEV,AE,Sedan
48,BMW6시리즈,0,0,0,0,
49,르노삼성 뉴F/L SM3 L38,SM3,르노삼성,0,0,Sedan
50,쉐보레/한국GM 프리미어 라세티 J300,라세티,쉐보레/한국GM,프리미어,J300,Sedan
51,랜드로버 레인지로버 보그,레인지로버 보그,랜드로버,0,0,Mid-Large suv
52,렉서스 LS,0,0,0,0,
53,현대 4세대(2020년상반기예정) 투싼 NX4,NX,렉서스,0,0,Mid-Large suv
54,쌍용 렉스턴 Y200,0,0,0,0,
55,Audi S4,S4,아우디,0,0,Sedan
56,벤츠 더뉴 C-클래스 카브리올레 A205,C-클래스,벤츠,0,0,Sedan
57,카이엔,카이엔,포르쉐,0,0,Mid-Large suv
58,기아 부스터 EV 쏘울 SK3,K3,기아,부스터 EV,SK3,Sedan
59,비스토,0,0,0,0,
60,포드 머스탱 2020년형,머스탱,포드,0,0,Coupe
61,폭스바겐 Jetta,0,0,0,0,
62,코티나,0,0,0,0,
63,현대 그랜저 XG,그랜저,현대,0,XG,Sedan
64,토요타 프리우스 2019년형,프리우스,토요타,0,0,Sedan
65,4시리스,0,0,0,0,
66,벤츠 C-클래스 쿠페 C204,C-클래스,벤츠,0,0,Sedan
67,그라나다,0,0,0,0,
68,볼보 XC90 2020년형,XC90,볼보,0,0,Mid-Large suv
69,벤츠 B-클래스 W245,B-클래스,벤츠,0,0,Small suv
70,볼보 FH500,0,0,0,0,
71,쉐보레/한국GM 올란도,올란도,쉐보레,0,0,Mid-Large suv
72,현대 i40 VF,i40,현대,0,0,Sedan
73,쉐보레/한국GM 라보,라보,쉐보레/한국GM,0,0,One row truck
74,벤츠 E-클래스 E220d,E-클래스,벤츠,0,0,Sedan
75,쌍용 티볼리에어,티볼리,쌍용,에어,0,Small suv
76,혼다 파일럿 2020년형,파일럿,혼다,0,0,Mid-Large suv
77,쌍용 뉴W 체어맨 W200,체어맨,쌍용,0,0,Sedan
78,링컨 MKZ,MKZ,링컨,0,0,Sedan
79,벤츠 E-클래스 E300 4MATIC,E-클래스,벤츠,0,0,Sedan
80,라보,라보,쉐보레/한국GM,0,0,One row truck
81,폭스바겐 파사트 2008년형,2008,푸조,0,0,Small suv
82,쌍용 로디우스,로디우스,쌍용,0,0,van
83,랜드로버 디스커버리 스포츠 2019년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv
84,닛산 로그 2020년형,로그,닛산,0,0,Mid-Large suv
85,닛산 370Z,370Z,닛산,0,0,Coupe
86,볼보 C70,C70,볼보,0,0,Coupe
87,다이하쓰 미라,미라,다이하쓰,0,0,Sedan
88,렉서스 CT 2019년형,CT,렉서스,0,0,Sedan
89,쌍용 액티언 스포츠,액티언 스포츠,쌍용,0,0,Mid-Large suv
90,현대 EV 아이오닉 AE,아이오닉,현대,EV,AE,Sedan
91,마칸,마칸,포르쉐,0,0,Mid-Large suv
92,푸조 308SW,308SW,푸조,0,0,Small suv
93,아우디 A7,A7,아우디,0,0,Sedan
94,쉐보레/대우 마티즈,마티즈,쉐보레/한국GM,0,0,Sedan
95,트라제XG,트라제XG,현대,0,0,van
96,현대 클릭 TB,클릭,현대,0,TB,Sedan
97,혼다 오딧세이 2020년형,오딧세이,혼다,0,0,van
98,쉐보레/대우 올란도,올란도,쉐보레,0,0,Mid-Large suv
99,3008,3008,푸조,0,0,Small suv
100,머스탱,머스탱,포드,0,0,Coupe
101,토요타 프리우스 2020년형,프리우스,토요타,0,0,Sedan
102,쉐보레/대우 캡티바,캡티바,홀덴,0,0,Mid-Large suv
103,쉐보레/대우 올란도 J309,올란도,쉐보레,0,J309,Mid-Large suv
104,스마트,0,0,0,0,
105,LS500,0,0,0,0,
106,큐브,큐브,닛산,0,0,Sedan
107,Golf TDI,0,0,0,0,
108,볼보 S40,S40,볼보,0,0,Sedan
109,볼보 XC90 2006년형,XC90,볼보,0,0,Mid-Large suv
110,쉐보레/대우 알페온 VS300,알페온,쉐보레/한국GM,0,0,Sedan
111,크레인,0,0,0,0,
112,뉴오피러스,오피러스,기아,뉴,0,Sedan
113,벤츠 E-클래스 W212/C207/A207,E-클래스,벤츠,0,0,Sedan
114,기아 더뉴 쏘울 PS,쏘울,기아,더뉴,PS,Small suv
115,K3Koup,K3,기아,0,0,Sedan
116,벤츠 CLS-클래스 2019년형,CLS-클래스,벤츠,0,0,Sedan
117,레이 TAM 더뉴,레이,기아,더뉴,TAM,Sedan
118,STS,STS,캐딜락,0,0,Sedan
119,Audi S6,S6,아우디,0,0,Sedan
120,벤츠ML시리즈,0,0,0,0,
121,뉴EF쏘나타,쏘나타,현대,뉴,EF,Sedan
122,툰드라,툰드라,토요타,0,0,Mid-Large suv
123,카니발2,카니발,기아,2,0,van
124,BMWZ3,Z3,BMW,0,0,Coupe
125,컴패스,컴패스,지프,0,0,Mid-Large suv
126,현대 i30cw,i30,현대,0,0,Sedan
127,카니발 리무진,카니발,기아,0,0,van
128,sm5 노바,0,0,0,0,
129,올 뉴 스포티지,스포티지,기아,뉴,0,Mid-Large suv
130,기아로체이노베이션,로체,기아,이노베이션,0,Sedan
131,지프 그랜드 체로키 2020년형,그랜드 체로키,지프,0,0,Mid-Large suv
132,BMW X6 M F96,X6 M,BMW,0,0,Mid-Large suv
133,아우디 Q5 FY,Q5,아우디,0,0,Mid-Large suv
134,현대 PHEV 쏘나타 LF,쏘나타,현대,PHEV,LF,Sedan
135,BMW X7 G07,X7,BMW,0,G07,Mid-Large suv
136,아우디 S7 2021년형,S7,아우디,0,0,Sedan
137,BMW Z4,Z4,BMW,0,0,Coupe
138,링컨 에비에이터,에비에이터,링컨,0,0,Mid-Large suv
