,name,model,maker,prefix,postfix,kind
96,큐브,큐브,닛산,0,0,['Sedan']
97,뉴오피러스,오피러스,기아,뉴,0,['Sedan']
98,기아 더뉴 쏘울 PS,쏘울,기아,더뉴,PS,['Small suv']
99,K3Koup,K3 쿱,기아,0,0,['Coupe']
100,레이 TAM 더뉴,레이,기아,더뉴,TAM,['Sedan']
101,STS,STS,캐딜락,0,0,['Sedan']
102,뉴EF쏘나타,쏘나타,현대,뉴,EF,['Sedan']
103,툰드라,툰드라,토요타,0,0,['Mid-Large suv']
104,카니발2,카니발,기아,2,0,['van']
105,BMWZ3,Z3,BMW,0,0,['Coupe']
106,컴패스,컴패스,지프,0,0,['Mid-Large suv']
107,카니발 리무진,카니발,기아,0,0,['van']
108,sm5 노바,SM5,르노삼성,0,0,['Sedan']
109,올 뉴 스포티지,스포티지,기아,뉴,0,['Mid-Large suv']
110,기아로체이노베이션,로체,기아,이노베이션,0,['Sedan']
111,현대 PHEV 쏘나타 LF,쏘나타,현대,PHEV,LF,['Sedan']
112,BMW X7 G07,X7,BMW,0,G07,['Mid-Large suv']
113,아우디 S7 2021년형,S7,아우디,0,0,['Sedan']
114,BMW Z4,Z4,BMW,0,0,['Coupe']
115,링컨 에비에이터,에비에이터,링컨,0,0,['Mid-Large suv']
116,볼보 XC60 2014년형,XC60,볼보,0,0,['Mid-Large suv']
117,포르쉐 911 2020년형,911,포르쉐,0,0,['Coupe']
118,아우디 A7 4K8,A7,아우디,0,4K8,['Sedan']
119,랜드로버 디펜더 2020년형,디펜더,랜드로버,0,0,['Mid-Large suv']
120,아우디 SQ,SQ,아우디,0,0,['Mid-Large suv']
121,볼보 XC60 2020년형,XC60,볼보,0,0,['Mid-Large suv']
122,렉서스 NX,NX,렉서스,0,0,['Mid-Large suv']
123,BMW 8 시리즈,8 시리즈,BMW,0,0,"['Sedan', 'Coupe']"
124,렉서스 RX,RX,렉서스,0,0,['Mid-Large suv']
125,BMW Z4 E89,Z4,BMW,0,E89,['Coupe']
126,랜드로버 디스커버리 2019년형,디스커버리,랜드로버,0,0,['Mid-Large suv']
127,롤스로이스 고스트,고스트,롤스로이스,0,0,['Sedan']
128,벤츠 G-클래스,G-클래스,벤츠,0,0,['Mid-Large suv']
129,포르쉐 718,718,포르쉐,0,0,['Coupe']
130,혼다 CR-V 2010년형,CR-V,혼다,0,0,['Small suv']
131,아우디 S8 2021년형,S8,아우디,0,0,['Sedan']
132,페라리 812 슈퍼패스트,812 슈퍼패스트,페라리,0,0,['Coupe']
133,지프 체로키 2017년형,체로키,지프,0,0,['Mid-Large suv']
134,링컨 네비게이터 2018년형,네비게이터,링컨,0,0,['van']
135,폭스바겐 투아렉 2020년형,투아렉,폭스바겐,0,0,['Mid-Large suv']
136,BMW 6 시리즈 G32,6 시리즈,BMW,0,G32,['Sedan']
137,푸조 308,308,푸조,0,0,['Sedan']
138,미쓰비시 아웃랜더,아웃랜더,미쓰비시,0,0,['Mid-Large suv']
139,포르쉐 박스터 2014년형,박스터,포르쉐,0,0,['Coupe']
140,롤스로이스 고스트 2018년형,고스트,롤스로이스,0,0,['Sedan']
141,아우디 A3 8V,A3,아우디,0,8V,['Sedan']
142,볼보 V90 2021년형,V90,볼보,0,0,['Mid-Large suv']
143,기아 F/L (출시예정) 스팅어 CK,스팅어,기아,0,CK,['Sedan']
144,인피니티 QX 2020년형,QX,인피니티,0,0,['Mid-Large suv']
145,인피니티 Q 시리즈 2020년형,Q 시리즈,인피니티,0,0,['Sedan']
146,링컨 네비게이터 2021년형,네비게이터,링컨,0,0,['van']
147,BMW 3 시리즈 E46,3 시리즈,BMW,0,E46,['Sedan']
148,폭스바겐 골프 2016년형,골프,폭스바겐,0,0,['Sedan']
149,V90,V90,볼보,0,0,['Mid-Large suv']
150,폭스바겐 파사트 2018년형,파사트,폭스바겐,0,0,['Sedan']
151,포르쉐 마칸 2020년형,마칸,포르쉐,0,0,['Mid-Large suv']
152,토요타 도요타86 2021년형,도요타86,토요타,0,0,['Coupe']
153,닷지 챌린저 2019년형,챌린저,닷지,0,0,['Coupe']
154,렉서스 RX 2012년형,RX,렉서스,0,0,['Mid-Large suv']
155,링컨 에비에이터 2021년형,에비에이터,링컨,0,0,['Mid-Large suv']
156,렉서스 SC,SC,렉서스,0,0,['Coupe']
157,쉐보레/한국GM 카마로,카마로,쉐보레/한국GM,0,0,['Coupe']
158,렉서스 LX 2017년형,LX,렉서스,0,0,['Mid-Large suv']
159,포르쉐 카이엔 2010년형,카이엔,포르쉐,0,0,['Mid-Large suv']
160,농업용트랙터M6-108,M6 시리즈,구보다,0,0,
161,다이너스티,다이너스티,현대,0,0,['Sedan']
162,링컨 MKX 2021년형,MKX,링컨,0,0,['Mid-Large suv']
163,아우디 세부 분류,,아우디,0,0,
164,비이스만 GT 2021년형,GT,비이스만,0,0,['Coupe']
