,name,model,maker,prefix,postfix,kind
0,쏘렌토 mq4,쏘렌토,기아,0,0,Mid-Large suv
1,뉴SM6,SM6,르노삼성,0,0,Sedan
2,현대자동차 마이티2.5T,마이티,현대,0,0,Truck
3,올뉴투싼 TL,TL,아큐라,0,0,Sedan
4,뉴렉스턴,렉스턴,쌍용,뉴,0,Mid-Large suv
5,EQ900,EQ900,제네시스,0,0,Sedan
6,Jetta,제타,폭스바겐,0,0,Sedan
7,싼타페더스타일,싼타페,현대,0,0,Mid-Large suv
8,뉴SM3,SM3,르노삼성,0,0,Sedan
9,Q70,Q7,아우디,0,0,Mid-Large suv
10,GOLF,골프,폭스바겐,0,0,Sedan
11,라세티,라세티,쉐보레/한국GM,0,0,Sedan
12,제네시스 G330,제네시스,현대,0,0,Sedan
13,300C,300C,크라이슬러,0,0,Sedan
14,벤츠 GLS-클래스,GLS-클래스,벤츠,0,0,Mid-Large suv
15,Q3,Q3,아우디,0,0,Mid-Large suv
16,쉐보레/한국GM 캡티바 유로5,캡티바,홀덴,0,0,Mid-Large suv
17,디스커버리4,디스커버리,랜드로버,0,0,Mid-Large suv
18,5시리즈,5 시리즈,BMW,0,0,Sedan
19,쉐보레 이쿼녹스,이쿼녹스,쉐보레/한국GM,0,0,Small suv
20,현대 더뉴 i30 GD,i30,현대,0,0,Sedan
21,쉐보레 트래버스,트래버스,쉐보레,0,0,Mid-Large suv
22,기아 올뉴쏘렌토,쏘렌토,기아,올뉴,0,Mid-Large suv
23,로디우스,로디우스,쌍용,0,0,van
24,기아 SOUL,쏘울,기아,0,0,Small suv
25,캐딜락 에스컬레이드,에스컬레이드,캐딜락,0,0,Mid-Large suv
26,기아 5세대 (출시예정) 스포티지 NQ5,스포티지,기아,0,0,Mid-Large suv
27,기아 올뉴K3,K3,기아,올뉴,0,Sedan
28,뉴스타렉스,스타렉스,현대,뉴,0,van
29,기아 NIRO,니로,기아,0,0,Small suv
30,기아 뉴스포티지 R,스포티지,기아,R,0,Mid-Large suv
31,현대 쏘나타LF,쏘나타,현대,0,LF,Sedan
32,bmw 320d,3 시리즈,BMW,0,0,Sedan
33,볼보 V90,V90,볼보,0,0,Mid-Large suv
34,현대 소나타 뉴라이즈,쏘나타,현대,0,뉴라이즈,Sedan
35,현대 아반떼XD,아반떼,현대,0,XD,Sedan
36,기아 HEV 포르테 TD,포르테,토요타,HEV,TD,Sedan
37,르노 마스터,마스터,르노,0,0,van
38,볼보 2세대 S60,S60,볼보,0,0,Sedan
39,폭스바겐 골프 2013년형,골프,폭스바겐,0,0,Sedan
40,현대 아반떼 sport,아반떼,현대,0,0,Sedan
41,쉐보레/한국GM 말리부 V300,말리부,쉐보레/한국GM,0,V300,Sedan
42,현대 LF쏘나타,쏘나타,현대,0,LF,Sedan
43,기아 로체 MG,로체,기아,0,MG,Sedan
44,현대 넥소,넥쏘,현대,0,0,Mid-Large suv
45,기아 프라이드(2012),프라이드,기아,0,0,Sedan
46,르노 마스터S,마스터,르노,0,0,van
47,기아 K9 KH,K9,기아,0,KH,Sedan
48,현대 뉴그랜져 XG,그랜저,현대,뉴,0,Sedan
49,현대 더뉴그랜저,그랜저,현대,뉴,0,Sedan
50,기아 더 뉴 모하비 HM,모하비,기아,더 뉴,HM,Mid-Large suv
51,토요타 캠리 2013년형,캠리,토요타,0,0,Sedan
52,bmw 540i,3 시리즈,BMW,0,0,Sedan
53,현대 뉴라이즈 HEV 쏘나타 LF,쏘나타,현대,뉴라이즈 HEV,LF,Sedan
54,벤츠 C-클래스 W204,C-클래스,벤츠,0,W204,Sedan
