,name,model,maker,prefix,postfix,kind
0,기아 카렌스,카렌스,기아,0,0,Small suv
1,셀토스,셀토스,기아,0,0,Small suv
2,트래버스,트래버스,쉐보레,0,0,Mid-Large suv
3,GOLF GTI,0,0,0,0,
4,제네시스쿠페,제네시스,현대,0,0,Sedan
5,더뉴제네시스쿠페,제네시스,현대,0,0,Sedan
6,그랜저 HG,그랜저,현대,0,HG,Sedan
7,아테온,아테온,폭스바겐,0,0,Sedan
8,new E클래스,0,0,0,0,
9,BMW 5 시리즈 E60/61,5 시리즈,BMW,0,0,Sedan
10,XC40,XC40,볼보,0,0,Mid-Large suv
11,CC,CC,폭스바겐,0,0,Sedan
12,현대 아슬란 AG,아슬란,현대,0,AG,Sedan
13,모델 X,모델 X,테슬라,0,0,Mid-Large suv
14,폭스바겐 CC,CC,폭스바겐,0,0,Sedan
15,뉴그랜져,0,0,0,0,
16,A4,A4,아우디,0,0,Sedan
17,쌍용 티볼리 X100,티볼리,쌍용,0,X100,Small suv
18,라세티프리미어,라세티,쉐보레/한국GM,프리미어,0,Sedan
19,캡쳐,0,0,0,0,
20,르노삼성 SM5 KPQ,SM5,르노삼성,0,0,Sedan
21,X6M,X6,BMW,0,0,Mid-Large suv
22,테라칸,테라칸,현대,0,0,Mid-Large suv
23,쉐보레 트랙스,트랙스,쉐보레/한국GM,0,0,Small suv
24,기아 모하비 더마스터,모하비,기아,0,0,Mid-Large suv
25,현대 아슬란,아슬란,현대,0,0,Sedan
26,쉐보레/한국GM 볼트,볼트,쉐보레/한국GM,0,0,Sedan
27,르노삼성 뉴 SM5 EX1/DF,SM5,르노삼성,0,0,Sedan
28,랜드로버 디스커버리4,디스커버리,랜드로버,0,0,Mid-Large suv
29,마티즈,마티즈,쉐보레/한국GM,0,0,Sedan
30,기아 뉴프라이드,프라이드,기아,0,0,Sedan
31,벤츠 E-클래스 W212,E-클래스,벤츠,0,W212,Sedan
32,현대 벨로스터 FS,벨로스터,현대,0,FS,Sedan
33,기아 로체,로체,기아,0,0,Sedan
34,기아 K3 Koup,K3,기아,0,0,Sedan
35,랜드로버 레인지로버,레인지로버,랜드로버,0,0,Mid-Large suv
36,토요타 프리우스 2017년형,프리우스,토요타,0,0,Sedan
37,BMW X-6,0,0,0,0,
38,올뉴아반떼,아반떼,현대,올뉴,0,Sedan
39,기아 포르테 쿱 XK,포르테 쿱,기아,0,0,Coupe
40,르노삼성 마스터 벤,마스터,르노,0,벤,van
41,트럭,0,0,0,0,
42,AClass,0,0,0,0,
43,현대 세부 분류,0,0,0,0,
44,크라이슬러 300C,300C,크라이슬러,0,0,Sedan
45,현대 EF쏘나타,쏘나타,현대,0,EF,Sedan
46,마세라티 기블리,기블리,마세라티,0,0,Sedan
47,308CC,308,푸조,0,0,Coupe
48,렉서스 LS600hL,0,0,0,0,
49,기아 K5 JK,K5,기아,0,0,Sedan
50,기타,0,0,0,0,
51,현대 2 2열 포터 HR,2열 포터,현대,0,HR,Two row truck
52,기아 뉴카렌스,카렌스,기아,뉴,0,Small suv
53,제네시스 GV70,제네시스,현대,0,0,Sedan
54,비이스만 GT 2020년형,0,0,0,0,
55,미니 컨트리맨,컨트리맨,미니,0,0,Small suv
56,폭스바겐 티구안 2018년형,티구안,폭스바겐,0,0,Mid-Large suv
57,닷지 니트로 2020년형,니트로,닷지,0,0,Mid-Large suv
58,undefined 특수차량,0,0,0,0,
59,BMW 2 시리즈,2 시리즈,BMW,0,0,Sedan
60,벤츠 E-클래스 E450,E-클래스,벤츠,0,0,Sedan
61,기아 쏘울 부스터 EV SK3,K3,기아,부스터 EV,SK3,Sedan
62,NX300,NX,렉서스,0,0,Mid-Large suv
63,볼보 V40,V40,볼보,0,0,Small suv
64,현대 아반떼 XD,아반떼,현대,0,XD,Sedan
65,카렌스,카렌스,기아,0,0,Small suv
66,푸조 3008,3008,푸조,0,0,Small suv
67,다이하쓰 마테리아 2020년형,마테리아,다이하쓰,0,0,Sedan
68,뉴베르나,베르나,현대,뉴,0,Sedan
69,현대 HEV 아반떼 HD,아반떼,현대,0,HD,Sedan
70,르노삼성 SM7 Ex2,SM7,르노삼성,0,Ex2,Sedan
71,카렌스2,카렌스,기아,2,0,Small suv
72,닛산 350Z,350Z,닛산,0,0,Coupe
73,토요타 프리우스,프리우스,토요타,0,0,Sedan
74,기아 카렌스 2 RS,카렌스,기아,2,RS,Small suv
75,현대 더 뉴 아이오닉,아이오닉,현대,0,0,Sedan
76,IS,IS,렉서스,0,0,Sedan
77,쉐보레/대우 임팔라 10세대,임팔라,쉐보레,0,10세대,Sedan
78,쉐보레/대우 임팔라,임팔라,쉐보레,0,0,Sedan
79,현대 트라제XG,트라제XG,현대,0,0,van
80,혼다 어큐라,0,0,0,0,
81,닷지 챌린저,챌린저,닷지,0,0,Coupe
82,쉐보레/대우 볼트 2019년형,볼트,쉐보레/한국GM,0,2,Sedan
83,푸조 508,508,푸조,0,0,Sedan
84,혼다 CR-V 2020년형,CR-V,혼다,0,0,Small suv
85,쉐보레/대우 트랙스 U200,트랙스,쉐보레/한국GM,0,0,Small suv
86,볼보 XC90 2019년형,XC90,볼보,0,0,Mid-Large suv
87,체어맨H,체어맨,쌍용,H,0,Sedan
88,2012프라이드,프라이드,기아,0,0,Sedan
89,쌍용 렉스턴 2 Y200,0,0,0,0,
90,디스커버리,디스커버리,랜드로버,0,0,Mid-Large suv
91,볼보 C30,C30,볼보,0,0,Sedan
