,name,model,maker,prefix,postfix,kind
0,렉스턴스포츠Q200,렉스턴 스포츠,르노,0,Q200,Mid-Large suv
1,쏘나타 YF,쏘나타,현대,0,YF,Sedan
2,투싼 IX,투싼,현대,0,0,Mid-Large suv
3,스포티지 QL,스포티지,기아,0,QL,Mid-Large suv
4,쏘나타 하이브리드,쏘나타,현대,0,0,Sedan
5,쏘나타 NF,쏘나타,현대,0,NF,Sedan
6,그랜져 TG,그랜저,현대,0,TG,Sedan
7,sm5뉴임프레션,SM5,르노삼성,0,뉴임프레션,Sedan
8,A7,A7,아우디,0,0,Sedan
9,서버번,서버번,쉐보레,0,0,Mid-Large suv
10,MKX,MKX,링컨,0,0,Mid-Large suv
11,Z4,Z4,BMW,0,0,Coupe
12,컨트리맨,컨트리맨,미니,0,0,Small suv
13,기블리,기블리,마세라티,0,0,Sedan
14,뉴 액센트,엑센트,현대,뉴,0,Sedan
15,체어맨,체어맨,쌍용,0,0,Sedan
16,벤츠 G-클래스 W463: G63 AMG,G-클래스,벤츠,0,W463: G63 AMG,Mid-Large suv
17,기아 HEV 니로 DE,니로,기아,HEV,DE,Small suv
18,NEW에쿠스,에쿠스,현대,0,0,Sedan
19,Q50,Q5,아우디,0,0,Mid-Large suv
20,벤츠 GT-클래스,GT-클래스,벤츠,0,0,Sedan
21,현대 벨로스터JS,벨로스터,현대,0,JS,Sedan
22,기아 더뉴K5,K5,기아,0,0,Sedan
23,벤츠 E300,E-클래스,벤츠,0,0,Sedan
24,현대 그랜저HG,그랜저,현대,0,HG,Sedan
25,쉐보레 더넥스트스파크,스파크,쉐보레/한국GM,더넥스트,0,Sedan
26,현대 아반떼MD,아반떼,현대,0,MD,Sedan
27,쉐보레 말리부,말리부,쉐보레/한국GM,0,0,Sedan
28,-,NaN,NaN,NaN,NaN,NaN
29,기아 더뉴레이,레이,기아,더뉴,0,Sedan
30,티코,티코,기아,0,0,Sedan
31,르노 캡쳐,캡처,르노삼성,0,0,Small suv
32,지프 COMPASS,컴패스,지프,0,0,Mid-Large suv
33,솔라티,쏠라티,현대,0,0,Van
34,407SW,407,푸조,0,0,Sedan
