,store_addr,latlng,predicted_name
70,광주광역시 서구 칠성로,"('126.862932715332', '35.1666753599719')",아지트실내셀프세차장
71,부산광역시 동래구 여고로,"('129.067431481052', '35.1952743001172')",현대자동차블루핸즈 사직점
72,대전시 동구 한밭대로,"('127.437195959582', '36.3555711822419')",MINI 도이치모터스 대전전시장
73,경북 김천시 시청로,"('128.117549273127', '36.1402553259204')",르노삼성자동차 지정정비코너 김천점
74,경기 남양주시 금곡동185-21,"('127.214534108813', '37.6353136064424')",KS상사
75,경북 경산시 대학로,"('128.737204036556', '35.8337739182395')",GS칼텍스 세왕주유소
76,인천광역시 남동구 논현고잔로110번길,"('126.713838945473', '37.3930266074481')",루마버텍스 인천고잔점
77,인천광역시 서구 열우물로,"('126.68710070243475', '37.48128330199669')",기아오토큐 서인천서비스
78,경기 성남시 중원구,"('127.171933825367', '37.4631450829918')",Unknown
79,경기 성남시 분당구,"('127.128210618758', '37.4118319368872')",Unknown
80,서울 강북구 미아동,"('127.008119369295', '37.6208655377593')",Unknown
81,서울특별시 서초구 반포대로23길,"('127.00831315309', '37.4892117397066')",Unknown
82,대구시 달서구 달서대로,"('128.508392808613', '35.8153518014403')",대영주유소
83,511-2,"(37.643166, 127.0698473)",대한민국 서울특별시 노원구 중계2.3동 511-2
84,부산시 사상구 학장로,"('128.984474962281', '35.1426643100695')",현대자동차블루핸즈 학장점
85,경기도 김포시 양곡1로2번길,"('126.62497696519', '37.6511032345316')",블러드오토
86,서울특별시 서초구 마방로4길,"('127.040580584998', '37.4740032410122')",스카이네비
87,부산시 동래구 명륜로,"('129.084093361566', '35.1989464405011')",르노삼성자동차 동래사업소
88,서울 강남구 신사동,"('127.039152029523', '37.5267558230172')",Unknown
89,동구 우암로 49,"('127.424210265471', '36.3359183214984')",3M썬팅 삼성점
90,경기도 화성시 동탄반송1길,"('127.063308347709', '37.2106329730765')",소낙스 경기동탄점
91,인천서구 원당대로 640-1,"('126.67207034858', '37.5934238230526')",에이스덴트칼라
92,대전시 동구 대전시로,"('127.420461238092', '36.342985969755')",Unknown
93,경기도 하남시 서하남로,"('127.172795082194', '37.5171141198526')",현대자동차블루핸즈 서하남로점
94,부산광역시 남구 조각공원로,"('129.10109173975', '35.1305947711022')",시티원모터스
95,강원도 속초시 먹거리9길,"('128.576569287524', '38.1953335057796')",루마버텍스 속초교동점
96,속초시 교동 804-9,"('128.571641533912', '38.1995253359113')",속초카뱅크
97,울산광역시 북구 진장7길,"('129.358171527604', '35.567202706932584')",경영산업
98,경기도 부천시 조마루로,"('126.755610003369', '37.5010795789638')",스피드메이트 상동점
99,울산시 남구 화합로,"('129.339503110849', '35.5453466055691')",현대자동차블루핸즈 현대종합정비
100,서울시 서초구 반포대로18길,"('127.010845602823', '37.4864904902738')",루마버텍스 서초남부점
101,경기 오산시 오산동162-3,"('127.079350525448', '37.1502670664582')",3M썬팅 오산점
102,자동차시장1길 97 236-8,"('127.06839285729', '37.5603317636201')",대영차유리
103,유성구 유성대로 626번길,"('127.32891499659', '36.3495812351231')",순정디테일링
104,인천시 부평구 마장로,"('126.702614873599', '37.4955592437274')",팔도 주유소
105,충남 서산시 석림동,"('126.46366026129292', '36.77595852337854')",기아오토큐 석림점
106,주교동584-10,"('126.835266070089', '37.6591678769179')",스파이스피드 원당점
107,부산 연제구 거제동740-95,"('129.069510183147', '35.1804526051612')",에라카사운드
108,경남 창원시 의창구,"('128.609416855908', '35.3546520564984')",Unknown
109,경기 의왕시 오전동314-12,"('126.972252650047', '37.3521891313683')",아이나비공식대리점 의왕점
110,서울특별시 강남구 신사동151길,"('127.026927157809', '37.5203368971237')",소낙스 서울신사점
111,,"(0, 0)",Unknown
112,광주 남구 송하동,"('126.877847731592', '35.1137957961376')",현대자동차 광주서비스센터
113,충남 천안시 서북구,"('127.135694066293', '36.8325085040351')",Unknown
114,경기 광명시 광명동,"('126.845963682973', '37.4798132172894')",Unknown
115,광주시 광산구 임방울대로,"('126.84906239762265', '35.21728340956049')",Unknown
116,경상남도 진주시 모덕로,"('128.11531842706', '35.188426889025')",현대자동차블루핸즈 상대점
117,대전시 유성구 노은동로,"('127.318930440683', '36.3674443658318')",타이어프로 노은점
118,경기도 안양시 만안구,"('126.939453784593', '37.435892664613')",Unknown
119,인천시 미추홀구 한나루로458번길,"('126.668087790202', '37.4476634820056')",루마썬팅 인천학익점
120,경북 김천시 부곡동,"('128.09655970528593', '36.12848011261002')",나들목주유소
121,경북 포항시 남구,"('129.56973687334', '36.0780561712913')",Unknown
122,대구광역시 남구 명덕로,"('128.587027371314', '35.8565165170489')",도원주유소
123,인천광역시 서구 청라에메랄드로149번길,"('126.655647421695', '37.5383444706164')",차스킨
124,홍천군 홍천읍 진리,"('127.892694679447', '37.6927331850958')",세방주유소
125,경기도 부천시 평천로,"('126.761631062314', '37.515277270599')",현대오일뱅크직영 중동대로셀프주유소
126,경기도 부천시 경인로1185번길,"('126.751943089103', '37.4868720996706')",루마버텍스 부천송내역점
127,서울시 노원구 수락산로,"('127.070580623433', '37.666967878294')",현대자동차블루핸즈 상계서부점
128,인천광역시 남동구 문화로169번길,"('126.698430939948', '37.4550141511035')",브이쿨 간석1호점 류카
129,인천시  남동구,"('126.702000426952', '37.4452598554405')",Unknown
130,경기 시흥시 대야동,"('126.783115069624', '37.4505434752395')",Unknown
131,부산광역시 금정구 무학송로,"('129.093569755817', '35.2421929848829')",현대모비스 대양상사
132,경기도 부천시 소안로,"('126.803461925277', '37.4817684213497')",루마썬팅 부천소사점
133,인천 남동구 석정로,"('126.690830746852', '37.4661490006576')",한성가스충전소
134,전북 익산시 마동,"('126.957430628043', '35.938284195024')",르노삼성자동차 서비스코너 중앙점
135,경기 안산시 단원구,"('126.578140125982', '37.2897054095316')",Unknown
136,서울시 강서구 방화대로,"('126.817156378437', '37.5724563141792')",기아오토큐 방화점
137,인천 남동구 고잔로1,"('126.715616644431', '37.3959610108664')",소낙스 인천남인천점
138,인천광역시 남동구 인주대로,"('126.712126779316', '37.4497323445133')",BMW 바바리안모터스 인천전시장
139,경북 문경시 모전로,"('128.18906903123033', '36.594381782691315')",현대자동차블루핸즈 모전점
140,인천 남동구 구월동,"('126.702000426952', '37.4452598554405')",Unknown
141,충북 제천시 장락동,"('128.228402106951', '37.1564336083673')",현대자동차블루핸즈 첨단공업
142,대구시 달서구 달구벌대로,"('128.527773091415', '35.8495528387069')",Unknown
143,경남 사천시 사천읍,"('128.093752556738', '35.0838340057676')",Unknown
144,서울시 관악구 봉천로,"('126.945494404874', '37.4825968712886')",현대자동차블루핸즈 관악정비센터
145,전남 순천시 풍덕동,"('127.4941001532353', '34.94108209874331')",기아오토큐 풍덕점
146,서울 금천구 시흥동,"('126.925012344183', '37.4504087407698')",Unknown
147,경기 수원시 권선구,"('127.034639826416', '37.2506116761506')",Unknown
148,대구시 수성구 달구벌대로,"('128.639295157571', '35.8591884632556')",Unknown
149,경기 김포시 양촌읍,"('126.6137720344251', '37.655274646313124')",Unknown
150,서울시 송파구 중대로,"('127.132760684906', '37.5065484761674')",기아오토큐 오금점
151,대구시 북구 학정로,"('128.55058895715223', '35.91793333825386')",현대자동차블루핸즈 태전점
152,경기 남양주시 화도읍,"('127.347685844373', '37.6303509014602')",Unknown
153,충청북도 청주시 서원구,"('127.479155920795', '36.609733294749')",Unknown
154,춘천시 영서로 2434번길,"('127.712499477252', '37.8762496665971')",종원자동차정비공장
155,경기 시흥시 조남동,"('126.85736387709207', '37.381324856319104')",목감행복주유소
156,서울 은평구 역촌동,"('126.919693088111', '37.6009915063151')",기아오토큐 역촌점
157,경기도 광주시 광주대로,"('127.260828054589', '37.4110127666636')",르노삼성자동차 서비스코너 경기광주점
158,경기 여주시 홍문동,"('127.63976849482', '37.2902382849494')",기아오토큐 여주남부점
159,강릉시 노암동 585-3,"(37.7423437, 128.8977611)",대한민국 강원도 강릉시 노암동 585-3
160,경북 경산시 진량읍,"('128.837453466548', '35.861586693741')",Unknown
161,경기 여주시 상동,"('127.641067395291', '37.295525665871')",제일주유소
162,인천시 남동구 경인로,"('126.71099144219524', '37.4786879896376')",현대자동차블루핸즈 간석점
163,경기도 오산시 청학로,"('127.065040564891', '37.1549612897089')",현대자동차블루핸즈 청학점
